,kommunenummer,navn,Y,expected,SMR,kommunenavn,prosent,re_u,re_v,RR,LL,UL
154,3418,Ã…snes,14,10.35558156,1.351927936,Åsnes,37,154,154,1.094788146,1.002696028,1.201814881
155,3419,VÃ¥ler,7,5.131359298,1.364160955,Våler (Innlandet),29,155,155,1.217573169,1.051584995,1.406770687
156,3420,Elverum,31,26.24902818,1.180996103,Elverum,21,156,156,1.046520746,0.975037936,1.140339741
157,3421,Trysil,13,9.391725911,1.384197125,Trysil,33,157,157,1.024815771,0.960183044,1.109007348
158,3422,Ã…mot,5,5.675059482,0.881048034,Åmot,33,158,158,1.063602892,0.991883428,1.149325782
159,3423,Stor-Elvdal,4,3.617680977,1.10568069,Stor-Elvdal,30,159,159,1.045197817,0.98221646,1.121545821
160,3424,Rendalen,0,2.737405274,0,Rendalen,0,160,160,1.117819829,1.016081784,1.232609445
161,3425,Engerdal,0,1.874686072,0,Engerdal,0,161,161,0.944993451,0.869123285,1.032596875
162,3426,Tolga,0,2.046068694,0,Tolga,0,162,162,0.944806021,0.866675317,1.034672504
163,3427,Tynset,7,7.112873113,0.984131151,Tynset,16,163,163,1.009409882,0.951108178,1.083336664
164,3428,Alvdal,0,3.139291976,0,Alvdal,16,164,164,1.00745492,0.940000119,1.088468175
165,3429,Folldal,0,2.258382226,0,Folldal,29,165,165,0.947289517,0.877495822,1.029975884
166,3430,Os,0,2.556948419,0,Os,21,166,166,0.945652286,0.871597552,1.031178959
167,3431,Dovre,5,3.772411673,1.32541208,Dovre,33,167,167,1.089551675,1.005786026,1.195991955
168,3432,Lesja,0,2.673015205,0,Lesja,31,168,168,1.054874934,0.989363417,1.147780051
169,3433,SkjÃ¥k,3,3.188834384,0.94078263,Skjåk,26,169,169,0.963025171,0.889343319,1.06577912
170,3434,Lom,4,3.07405495,1.301212914,Lom,31,170,170,1.022665744,0.961924487,1.113948919
171,3435,VÃ¥gÃ¥,4,4.971532504,0.804580881,Vågå,44,171,171,1.065654557,0.995070277,1.155985379
172,3436,Nord-Fron,7,7.909052719,0.885061745,Nord-Fron,23,172,172,1.081530056,0.996678495,1.185306766
173,3437,Sel,10,7.934247249,1.260359009,Sel,26,173,173,1.055438345,0.985124263,1.147530708
174,3438,SÃ¸r-Fron,5,4.152955352,1.203961896,Sør-Fron,26,174,174,1.049531582,0.984014468,1.131018852
175,3439,Ringebu,7,6.145356768,1.139071378,Ringebu,23,175,175,1.023241104,0.956354336,1.107705087
176,3440,Ã˜yer,6,6.565366924,0.91388647,Øyer,22,176,176,1.012679135,0.950149716,1.089895065
177,3441,Gausdal,9,8.152280364,1.103985584,Gausdal,22,177,177,1.04972855,0.984340797,1.128148583
178,3442,Ã˜stre Toten,22,19.51723197,1.127209024,Østre Toten,26,178,178,1.06034027,0.987580313,1.138628642
179,3443,Vestre Toten,14,16.98323276,0.824342468,Vestre Toten,23,179,179,1.050752049,0.973579273,1.127138764
180,3446,Gran,17,17.5623897,0.96797761,Gran,26,180,180,1.01734936,0.95099085,1.077770235
181,3447,SÃ¸ndre Land,10,7.294163129,1.370959193,Søndre Land,29,181,181,1.186164305,1.037579967,1.348540018
182,3448,Nordre Land,12,8.672753368,1.383643635,Nordre Land,28,182,182,1.073862257,0.997875546,1.158994256
183,3449,SÃ¸r-Aurdal,5,4.272747105,1.170207334,Sør-Aurdal,40,183,183,0.990626516,0.933102533,1.051388818
184,3450,Etnedal,0,1.899309739,0,Etnedal,29,184,184,1.091445743,0.99278502,1.199317002
185,3451,Nord-Aurdal,8,8.264842019,0.967955586,Nord-Aurdal,30,185,185,1.085984397,1.003453629,1.176865572
186,3452,Vestre Slidre,0,2.81310026,0,Vestre Slidre,31,186,186,1.050681116,0.975759058,1.138125894
187,3453,Ã˜ystre Slidre,4,4.09537648,0.976711181,Øystre Slidre,29,187,187,1.051321994,0.985354555,1.131726547
188,3454,Vang,0,2.084071657,0,Vang,0,188,188,1.052839886,0.987972069,1.135054518
189,3801,Horten,40,34.26113101,1.167503781,Horten,21,189,189,1.032798758,0.954165486,1.14472711
190,3802,Holmestrand,33,29.58322004,1.11549723,Holmestrand,27,190,190,1.032218076,0.970040774,1.108201937
191,3803,TÃ¸nsberg,69,66.98518117,1.030078575,Tønsberg,24,191,191,1.00399645,0.939655839,1.09288821
192,3804,Sandefjord,88,77.16824828,1.140365396,Sandefjord,26,192,192,1.044125315,0.968155847,1.15342525
193,3805,Larvik,63,59.47395794,1.05928716,Larvik,27,193,193,1.021897759,0.959755487,1.095882578
194,3806,Porsgrunn,48,45.0613966,1.065213323,Porsgrunn,28,194,194,1.032637716,0.953331759,1.115760073
195,3807,Skien,64,66.97456899,0.95558659,Skien,25,195,195,1.030641484,0.957724049,1.096021343
196,3808,Notodden,19,17.07927528,1.112459381,Notodden,28,196,196,1.038957497,0.964928898,1.109791126
197,3811,FÃ¦rder,40,33.97331137,1.177394796,Færder,22,197,197,1.011503868,0.917755177,1.159180148
198,3812,Siljan,0,2.96604431,0,Siljan,26,198,198,1.069863781,0.979618593,1.161632424
199,3813,Bamble,16,17.34736948,0.922330041,Bamble,28,199,199,1.011166436,0.920049561,1.08798125
200,3814,KragerÃ¸,18,13.80132171,1.304222913,Kragerø,23,200,200,1.021028722,0.930469486,1.098804459
201,3815,Drangedal,6,5.273180549,1.137833219,Drangedal,31,201,201,1.015983249,0.936645777,1.081916236
202,3816,Nome,11,8.524775864,1.290356506,Nome,32,202,202,1.027314186,0.948442393,1.097371818
203,3817,Midt-Telemark,11,12.92052452,0.851358626,Midt-Telemark,31,203,203,1.083687597,0.988602601,1.176431639
204,3818,Tinn,10,7.508894728,1.331753921,Tinn,19,204,204,1.026226197,0.959165563,1.091636329
205,3819,Hjartdal,0,2.191794796,0,Hjartdal,59,205,205,1.006695555,0.922594736,1.08250047
206,3820,Seljord,4,3.814637229,1.048592503,Seljord,26,206,206,0.992147441,0.925279706,1.050993802
207,3821,Kviteseid,0,3.184518617,0,Kviteseid,38,207,207,1.145127366,1.01061049,1.283173782
208,3822,Nissedal,0,1.833906024,0,Nissedal,47,208,208,1.109118185,0.987933975,1.22594415
209,3823,Fyresdal,0,1.712023076,0,Fyresdal,0,209,209,0.921227995,0.832375527,0.997297546
210,3824,Tokke,0,2.967310419,0,Tokke,24,210,210,1.022778425,0.944052835,1.08788138
211,3825,Vinje,6,4.731165421,1.268186475,Vinje,31,211,211,1.027939615,0.963972944,1.091048395
212,4201,RisÃ¸r,11,8.925369372,1.232441991,Risør,38,212,212,1.032771661,0.93471347,1.113928873
213,4202,Grimstad,24,27.00891362,0.888595533,Grimstad,25,213,213,0.987074445,0.885978146,1.057759967
214,4203,Arendal,56,53.90199103,1.038922662,Arendal,27,214,214,1.026609577,0.924070107,1.106641345
215,4204,Kristiansand,119,126.802203,0.9384695,Kristiansand,27,215,215,0.96741231,0.872187736,1.034626967
216,4205,Lindesnes,29,27.62637763,1.049721407,Lindesnes,29,216,216,1.018814348,0.916313298,1.09624533
217,4206,Farsund,15,12.3026095,1.219253525,Farsund,38,217,217,1.074819658,0.946825486,1.187280821
218,4207,Flekkefjord,14,11.80748607,1.185688462,Flekkefjord,33,218,218,1.022552225,0.920364928,1.101170781
219,4211,Gjerstad,0,3.170264376,0,Gjerstad,29,219,219,0.96866484,0.879241826,1.037577316
220,4212,VegÃ¥rshei,0,2.440605063,0,Vegårshei,29,220,220,0.987678934,0.896094426,1.055414139
221,4213,Tvedestrand,9,7.516815722,1.197315503,Tvedestrand,27,221,221,1.098520245,0.977583218,1.211917006
222,4214,Froland,6,6.528826036,0.919001359,Froland,41,222,222,1.059584831,0.954621477,1.149368062
223,4215,Lillesand,11,12.98415989,0.847186117,Lillesand,27,223,223,0.97826882,0.869726056,1.053272303
224,4216,Birkenes,0,5.978409869,0,Birkenes,22,224,224,0.99382829,0.895428094,1.062455745
225,4217,Ã…mli,0,2.333091309,0,Åmli,35,225,225,0.967575439,0.880560519,1.031478579
226,4218,Iveland,0,1.434703242,0,Iveland,0,226,226,1.021185292,0.905573512,1.105780128
227,4219,Evje og Hornnes,6,4.551177385,1.318340177,Evje og Hornnes,36,227,227,0.980822361,0.890784514,1.045715819
228,4220,Bygland,0,1.48235023,0,Bygland,0,228,228,1.083549952,0.973738233,1.184465299
229,4221,Valle,0,1.530015142,0,Valle,30,229,229,0.921530717,0.832406563,0.9980614
230,4222,Bykle,0,1.032116898,0,Bykle,0,230,230,0.926454807,0.847053203,0.999550815
231,4223,Vennesla,15,16.47680556,0.910370639,Vennesla,44,231,231,1.011093271,0.907576953,1.086381235
232,4224,Ã…seral,0,1.120785304,0,Åseral,55,232,232,0.916593216,0.816149993,0.998445262
233,4225,Lyngdal,11,11.962793,0.919517708,Lyngdal,35,233,233,1.017119845,0.918659978,1.091249687
234,4226,HÃ¦gebostad,0,2.069171378,0,Hægebostad,35,234,234,1.009953823,0.8998953,1.090184534
235,4227,Kvinesdal,10,7.543484917,1.325647245,Kvinesdal,33,235,235,1.058227814,0.954488841,1.146934631
236,4228,Sirdal,0,2.284952569,0,Sirdal,36,236,236,0.975073021,0.894962393,1.034669243
237,4601,Bergen,345,326.0615265,1.058082515,Bergen,22,237,237,1.001382964,0.938702005,1.092035569
238,4602,Kinn,25,20.6772855,1.209056189,Kinn,28,238,238,1.050768423,0.9748872,1.186355441
239,4611,Etne,7,5.398452107,1.296667982,Etne,34,239,239,0.988741828,0.922458434,1.070956591
240,4612,Sveio,8,6.443917758,1.241480773,Sveio,31,240,240,1.049234535,0.934869883,1.202213123
241,4613,BÃ¸mlo,16,13.83426074,1.156548969,Bømlo,24,241,241,1.026488621,0.915760567,1.154260112
242,4614,Stord,21,21.78871296,0.963801765,Stord,23,242,242,0.990648157,0.888627781,1.113990588
243,4615,Fitjar,0,3.635750467,0,Fitjar,27,243,243,1.009948959,0.889361306,1.118262927
244,4616,Tysnes,5,3.987127748,1.254035566,Tysnes,37,244,244,1.08833624,0.956150108,1.235471175
245,4617,Kvinnherad,23,17.34580856,1.325968744,Kvinnherad,21,245,245,1.028227922,0.963185509,1.122038868
246,4618,Ullensvang,19,15.62892451,1.215694655,Ullensvang,25,246,246,1.00042716,0.941717974,1.070073308
247,4619,Eidfjord,0,1.223928419,0,Eidfjord,0,247,247,0.939896266,0.866902889,1.019137178
248,4620,Ulvik,0,1.57070029,0,Ulvik,0,248,248,0.945219516,0.869589053,1.033729623
249,4621,Voss,25,20.81215291,1.201221234,Voss,23,249,249,1.002643633,0.940778683,1.091370665
250,4622,Kvam,11,11.46547858,0.959401731,Kvam,25,250,250,0.999754855,0.935954373,1.091700419
251,4623,Samnanger,1,3.162194257,0.316236107,Samnanger,24,251,251,0.995546992,0.927838538,1.094180427
252,4624,BjÃ¸rnafjorden,28,28.19895441,0.992944617,Bjørnafjorden,25,252,252,1.010439179,0.944863539,1.107557084
