kommunenummer,kommunenavn,Kjønn,Alder,2010-2019
1231,Ullensvang,kvinner,0-74 år,4
1231,Ullensvang,kvinner,75 år og eldre,4
1516,Ulstein,menn,0-74 år,4
1516,Ulstein,menn,75 år og eldre,3
1516,Ulstein,kvinner,0-74 år,2
1516,Ulstein,kvinner,75 år og eldre,2
1233,Ulvik,menn,0-74 år,0
1233,Ulvik,menn,75 år og eldre,0
1233,Ulvik,kvinner,0-74 år,0
1233,Ulvik,kvinner,75 år og eldre,0
2027,Unjárga Nesseby,menn,0-74 år,0
2027,Unjárga Nesseby,menn,75 år og eldre,0
2027,Unjárga Nesseby,kvinner,0-74 år,0
2027,Unjárga Nesseby,kvinner,75 år og eldre,0
1151,Utsira,menn,0-74 år,0
1151,Utsira,menn,75 år og eldre,0
1151,Utsira,kvinner,0-74 år,0
1151,Utsira,kvinner,75 år og eldre,0
2003,Vadsø,menn,0-74 år,3
2003,Vadsø,menn,75 år og eldre,2
2003,Vadsø,kvinner,0-74 år,2
2003,Vadsø,kvinner,75 år og eldre,2
1857,Værøy,menn,0-74 år,0
1857,Værøy,menn,75 år og eldre,0
1857,Værøy,kvinner,0-74 år,0
1857,Værøy,kvinner,75 år og eldre,0
515,Vågå,menn,0-74 år,3
515,Vågå,menn,75 år og eldre,1
515,Vågå,kvinner,0-74 år,1
515,Vågå,kvinner,75 år og eldre,0
1865,Vågan,menn,0-74 år,5
1865,Vågan,menn,75 år og eldre,4
1865,Vågan,kvinner,0-74 år,4
1865,Vågan,kvinner,75 år og eldre,5
1251,Vaksdal,menn,0-74 år,3
1251,Vaksdal,menn,75 år og eldre,1
1251,Vaksdal,kvinner,0-74 år,1
1251,Vaksdal,kvinner,75 år og eldre,2
426,Våler (Innlandet),menn,0-74 år,2
426,Våler (Innlandet),menn,75 år og eldre,1
426,Våler (Innlandet),kvinner,0-74 år,2
426,Våler (Innlandet),kvinner,75 år og eldre,2
137,Våler (Viken),menn,0-74 år,2
137,Våler (Viken),menn,75 år og eldre,2
137,Våler (Viken),kvinner,0-74 år,2
137,Våler (Viken),kvinner,75 år og eldre,1
940,Valle,menn,0-74 år,0
940,Valle,menn,75 år og eldre,0
940,Valle,kvinner,0-74 år,0
940,Valle,kvinner,75 år og eldre,0
545,Vang,menn,0-74 år,0
545,Vang,menn,75 år og eldre,0
545,Vang,kvinner,0-74 år,0
545,Vang,kvinner,75 år og eldre,0
1511,Vanylven,menn,0-74 år,2
1511,Vanylven,menn,75 år og eldre,2
1511,Vanylven,kvinner,0-74 år,1
1511,Vanylven,kvinner,75 år og eldre,2
2002,Vardø,menn,0-74 år,0
2002,Vardø,menn,75 år og eldre,0
2002,Vardø,kvinner,0-74 år,0
2002,Vardø,kvinner,75 år og eldre,0
1824,Vefsn,menn,0-74 år,7
1824,Vefsn,menn,75 år og eldre,6
1824,Vefsn,kvinner,0-74 år,5
1824,Vefsn,kvinner,75 år og eldre,5
1815,Vega,menn,0-74 år,0
1815,Vega,menn,75 år og eldre,0
1815,Vega,kvinner,0-74 år,0
1815,Vega,kvinner,75 år og eldre,0
912,Vegårshei,menn,0-74 år,0
912,Vegårshei,menn,75 år og eldre,0
912,Vegårshei,kvinner,0-74 år,0
912,Vegårshei,kvinner,75 år og eldre,0
1014,Vennesla,menn,0-74 år,5
1014,Vennesla,menn,75 år og eldre,2
1014,Vennesla,kvinner,0-74 år,4
1014,Vennesla,kvinner,75 år og eldre,4
211,Vestby,menn,0-74 år,8
211,Vestby,menn,75 år og eldre,4
211,Vestby,kvinner,0-74 år,5
211,Vestby,kvinner,75 år og eldre,3
1535,Vestnes,menn,0-74 år,3
1535,Vestnes,menn,75 år og eldre,3
1535,Vestnes,kvinner,0-74 år,3
1535,Vestnes,kvinner,75 år og eldre,3
543,Vestre Slidre,menn,0-74 år,0
543,Vestre Slidre,menn,75 år og eldre,0
543,Vestre Slidre,kvinner,0-74 år,0
543,Vestre Slidre,kvinner,75 år og eldre,0
529,Vestre Toten,menn,0-74 år,5
529,Vestre Toten,menn,75 år og eldre,3
529,Vestre Toten,kvinner,0-74 år,5
529,Vestre Toten,kvinner,75 år og eldre,2
1860,Vestvågøy,menn,0-74 år,5
1860,Vestvågøy,menn,75 år og eldre,3
1860,Vestvågøy,kvinner,0-74 år,3
1860,Vestvågøy,kvinner,75 år og eldre,3
1816,Vevelstad,menn,0-74 år,0
1816,Vevelstad,menn,75 år og eldre,0
1816,Vevelstad,kvinner,0-74 år,0
1816,Vevelstad,kvinner,75 år og eldre,0
1417,Vik,menn,0-74 år,1
1417,Vik,menn,75 år og eldre,1
1417,Vik,kvinner,0-74 år,1
1417,Vik,kvinner,75 år og eldre,2
5050,Viken,menn,0-74 år,500
5050,Viken,menn,75 år og eldre,284
5050,Viken,kvinner,0-74 år,395
5050,Viken,kvinner,75 år og eldre,300
1160,Vindafjord,menn,0-74 år,3
1160,Vindafjord,menn,75 år og eldre,4
1160,Vindafjord,kvinner,0-74 år,3
1160,Vindafjord,kvinner,75 år og eldre,2
834,Vinje,menn,0-74 år,2
834,Vinje,menn,75 år og eldre,2
834,Vinje,kvinner,0-74 år,1
834,Vinje,kvinner,75 år og eldre,1
1519,Volda,menn,0-74 år,4
1519,Volda,menn,75 år og eldre,5
1519,Volda,kvinner,0-74 år,3
1519,Volda,kvinner,75 år og eldre,4
1235,Voss,menn,0-74 år,7
1235,Voss,menn,75 år og eldre,5
1235,Voss,kvinner,0-74 år,5
1235,Voss,kvinner,75 år og eldre,8
