kommunenummer,K1,K2,K3,K4,K5,K6,K7
624,0.0,0.0,0.0,0.0,19117.0,0.0,0.0
625,0.0,0.0,0.0,0.0,0.0,24963.0,0.0
626,0.0,0.0,0.0,0.0,0.0,26371.0,0.0
627,0.0,0.0,0.0,0.0,0.0,22634.0,0.0
628,0.0,0.0,0.0,0.0,9521.0,0.0,0.0
631,0.0,0.0,0.0,0.0,2694.0,0.0,0.0
632,0.0,0.0,0.0,1419.0,0.0,0.0,0.0
633,0.0,0.0,0.0,0.0,2448.0,0.0,0.0
701,0.0,0.0,0.0,0.0,0.0,27334.0,0.0
704,0.0,0.0,0.0,0.0,0.0,45976.0,0.0
710,0.0,0.0,0.0,0.0,0.0,63270.0,0.0
711,0.0,0.0,0.0,0.0,6685.0,0.0,0.0
712,0.0,0.0,0.0,0.0,0.0,47107.0,0.0
713,0.0,0.0,0.0,0.0,9904.0,0.0,0.0
715,0.0,0.0,0.0,0.0,14370.0,0.0,0.0
716,0.0,0.0,0.0,0.0,9730.0,0.0,0.0
729,0.0,0.0,0.0,0.0,0.0,26700.0,0.0
805,0.0,0.0,0.0,0.0,0.0,36223.0,0.0
806,0.0,0.0,0.0,0.0,0.0,54644.0,0.0
807,0.0,0.0,0.0,0.0,12682.0,0.0,0.0
811,0.0,0.0,0.0,0.0,2329.0,0.0,0.0
814,0.0,0.0,0.0,0.0,14089.0,0.0,0.0
815,0.0,0.0,0.0,0.0,10406.0,0.0,0.0
817,0.0,0.0,0.0,0.0,4080.0,0.0,0.0
819,0.0,0.0,0.0,0.0,6538.0,0.0,0.0
821,0.0,0.0,0.0,0.0,6630.0,0.0,0.0
822,0.0,0.0,0.0,0.0,4293.0,0.0,0.0
826,0.0,0.0,0.0,0.0,5780.0,0.0,0.0
827,0.0,0.0,0.0,1572.0,0.0,0.0,0.0
828,0.0,0.0,0.0,0.0,2934.0,0.0,0.0
829,0.0,0.0,0.0,0.0,2403.0,0.0,0.0
830,0.0,0.0,0.0,1476.0,0.0,0.0,0.0
831,0.0,0.0,0.0,1286.0,0.0,0.0,0.0
833,0.0,0.0,0.0,0.0,2228.0,0.0,0.0
834,0.0,0.0,0.0,0.0,3723.0,0.0,0.0
901,0.0,0.0,0.0,0.0,6848.0,0.0,0.0
904,0.0,0.0,0.0,0.0,0.0,23246.0,0.0
906,0.0,0.0,0.0,0.0,0.0,44785.0,0.0
911,0.0,0.0,0.0,0.0,2454.0,0.0,0.0
912,0.0,0.0,0.0,0.0,2093.0,0.0,0.0
914,0.0,0.0,0.0,0.0,6069.0,0.0,0.0
919,0.0,0.0,0.0,0.0,5845.0,0.0,0.0
926,0.0,0.0,0.0,0.0,10990.0,0.0,0.0
928,0.0,0.0,0.0,0.0,5212.0,0.0,0.0
929,0.0,0.0,0.0,1848.0,0.0,0.0,0.0
935,0.0,0.0,0.0,1326.0,0.0,0.0,0.0
937,0.0,0.0,0.0,0.0,3638.0,0.0,0.0
938,0.0,0.0,0.0,1192.0,0.0,0.0,0.0
940,0.0,0.0,0.0,1156.0,0.0,0.0,0.0
941,0.0,0.0,953.0,0.0,0.0,0.0,0.0
1001,0.0,0.0,0.0,0.0,0.0,92282.0,0.0
1002,0.0,0.0,0.0,0.0,15659.0,0.0,0.0
1003,0.0,0.0,0.0,0.0,9695.0,0.0,0.0
1004,0.0,0.0,0.0,0.0,9066.0,0.0,0.0
1014,0.0,0.0,0.0,0.0,14630.0,0.0,0.0
1017,0.0,0.0,0.0,0.0,6706.0,0.0,0.0
1018,0.0,0.0,0.0,0.0,11403.0,0.0,0.0
1021,0.0,0.0,0.0,0.0,2297.0,0.0,0.0
1026,0.0,0.0,939.0,0.0,0.0,0.0,0.0
1027,0.0,0.0,0.0,1780.0,0.0,0.0,0.0
1029,0.0,0.0,0.0,0.0,4953.0,0.0,0.0
1032,0.0,0.0,0.0,0.0,8609.0,0.0,0.0
1034,0.0,0.0,0.0,1683.0,0.0,0.0,0.0
1037,0.0,0.0,0.0,0.0,6048.0,0.0,0.0
1046,0.0,0.0,0.0,1839.0,0.0,0.0,0.0
1101,0.0,0.0,0.0,0.0,14830.0,0.0,0.0
1102,0.0,0.0,0.0,0.0,0.0,77245.0,0.0
1103,0.0,0.0,0.0,0.0,0.0,0.0,134037.0
1106,0.0,0.0,0.0,0.0,0.0,37250.0,0.0
1111,0.0,0.0,0.0,0.0,3305.0,0.0,0.0
1112,0.0,0.0,0.0,0.0,3213.0,0.0,0.0
1114,0.0,0.0,0.0,0.0,2807.0,0.0,0.0
1119,0.0,0.0,0.0,0.0,18814.0,0.0,0.0
1120,0.0,0.0,0.0,0.0,19354.0,0.0,0.0
1121,0.0,0.0,0.0,0.0,18795.0,0.0,0.0
1122,0.0,0.0,0.0,0.0,11899.0,0.0,0.0
1124,0.0,0.0,0.0,0.0,0.0,26582.0,0.0
1127,0.0,0.0,0.0,0.0,11053.0,0.0,0.0
1129,0.0,0.0,0.0,1193.0,0.0,0.0,0.0
1130,0.0,0.0,0.0,0.0,12720.0,0.0,0.0
1133,0.0,0.0,0.0,0.0,2684.0,0.0,0.0
1134,0.0,0.0,0.0,0.0,3794.0,0.0,0.0
1135,0.0,0.0,0.0,0.0,4597.0,0.0,0.0
1141,0.0,0.0,0.0,0.0,3150.0,0.0,0.0
1142,0.0,0.0,0.0,0.0,4847.0,0.0,0.0
1144,0.0,0.0,516.0,0.0,0.0,0.0,0.0
1145,0.0,0.0,840.0,0.0,0.0,0.0,0.0
1146,0.0,0.0,0.0,0.0,11028.0,0.0,0.0
1149,0.0,0.0,0.0,0.0,0.0,42161.0,0.0
1151,196.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,0.0,0.0,0.0,0.0,8742.0,0.0,0.0
1201,0.0,0.0,0.0,0.0,0.0,0.0,281186.0
1211,0.0,0.0,0.0,0.0,4076.0,0.0,0.0
1216,0.0,0.0,0.0,0.0,5721.0,0.0,0.0
1219,0.0,0.0,0.0,0.0,11960.0,0.0,0.0
1221,0.0,0.0,0.0,0.0,18699.0,0.0,0.0
1222,0.0,0.0,0.0,0.0,3201.0,0.0,0.0
1223,0.0,0.0,0.0,0.0,2846.0,0.0,0.0
1224,0.0,0.0,0.0,0.0,13137.0,0.0,0.0
1227,0.0,0.0,0.0,1087.0,0.0,0.0,0.0
1228,0.0,0.0,0.0,0.0,6745.0,0.0,0.0
1231,0.0,0.0,0.0,0.0,3320.0,0.0,0.0
1232,0.0,0.0,906.0,0.0,0.0,0.0,0.0
1233,0.0,0.0,0.0,1093.0,0.0,0.0,0.0
1234,0.0,0.0,937.0,0.0,0.0,0.0,0.0
1235,0.0,0.0,0.0,0.0,14606.0,0.0,0.0
1238,0.0,0.0,0.0,0.0,8441.0,0.0,0.0
