,kommunenummer,RR,LL,UL
61,1824,2.459090064,2.214672126,2.714988068
62,1825,0.000145409,2.08E-10,0.000667517
63,1826,0.000121033,8.71E-11,0.000420039
64,1827,0.000149299,1.38E-10,0.000559398
65,1828,0.000154405,8.23E-11,0.000504533
66,1832,0.011274535,4.73E-05,0.066082455
67,1833,1.219899453,1.086975102,1.359609817
68,1834,0.000116066,1.32E-10,0.000493494
69,1835,0.000324395,1.84E-10,0.00089082
70,1836,0.000156813,8.56E-11,0.000465421
71,1837,0.008945611,3.99E-05,0.052003553
72,1838,0.00012061,1.37E-10,0.000502606
73,1839,0.00012044,6.64E-11,0.000374468
74,1840,0.011481825,4.13E-05,0.068634664
75,1841,4.352335566,3.958526466,4.762849721
76,1845,0.000859062,6.57E-10,0.003207312
77,1848,9.17E-05,1.06E-10,0.000410837
78,1851,0.000108489,1.67E-10,0.000512051
79,1853,0.000162944,1.64E-10,0.000631923
80,1856,0.000271757,1.24E-10,0.000670355
81,1857,0.000214595,9.51E-11,0.00057934
82,1859,0.000164907,1.56E-10,0.000616273
83,1860,3.842790173,3.478109554,4.223830488
84,1865,3.997851242,3.595609215,4.419200697
85,1866,0.007197826,3.51E-05,0.041357182
86,1867,0.000105344,1.38E-10,0.000533959
87,1868,0.012591901,3.96E-05,0.076471605
88,1870,0.0067644,2.99E-05,0.039357043
89,1871,0.009703532,3.80E-05,0.057385895
90,1874,0.000168663,1.12E-10,0.000588097
91,1875,9.06E-05,9.60E-11,0.000399955
92,3001,0.92800581,0.819402971,1.042604769
93,3002,0.58958539,0.520837497,0.662113267
94,3003,0.796991553,0.719609204,0.87793219
95,3004,0.370996032,0.327501504,0.416896885
96,3005,0.407360983,0.365001063,0.451793563
97,3006,1.429408403,1.286232133,1.579356551
98,3007,1.20693227,1.083707962,1.336087012
99,3011,0.012207631,5.36E-05,0.07112305
100,3012,0.000226469,2.64E-10,0.000976589
101,3013,9.84E-05,3.03E-10,0.000590146
102,3014,0.69081511,0.610695925,0.77531169
103,3015,0.000126454,1.77E-10,0.000611438
104,3016,0.370623008,0.244551352,0.520702399
105,3017,0.007869579,3.71E-05,0.045422038
106,3018,0.013827963,4.77E-05,0.083050763
107,3019,0.004671506,2.96E-05,0.025864691
108,3020,0.761217099,0.68655688,0.839341235
109,3021,0.005795154,9.48E-05,0.027632213
110,3022,2.598105439,2.349178288,2.858324945
111,3023,0.299161182,0.214681527,0.396267205
112,3024,0.441364441,0.401445564,0.482975692
113,3025,0.519687008,0.470216865,0.571384098
114,3026,2.397066849,2.164844331,2.639948278
115,3027,0.005260119,2.94E-05,0.02963195
116,3028,8.448520135,7.803126687,9.116679207
117,3029,1.081453665,0.967660473,1.200873731
118,3030,0.648172717,0.587475818,0.711549972
119,3031,3.19194934,2.933376442,3.460175286
120,3032,0.012495267,4.38E-05,0.074856491
121,3033,1.650809827,1.496211603,1.8122375
122,3034,1.815445601,1.617903258,2.023059751
123,3035,2.644150207,2.41094981,2.886949818
124,3036,0.006811031,2.99E-05,0.039643443
125,3037,0.000130867,2.58E-10,0.000681774
126,3038,0.010885375,5.30E-05,0.06255049
127,3039,0.000182454,1.89E-10,0.000708512
128,3040,9.66E-05,2.49E-10,0.000544611
129,3041,0.010656067,3.64E-05,0.064100244
130,3042,0.000150928,1.91E-10,0.000654812
131,3043,0.011760154,4.02E-05,0.070749491
132,3044,0.011754648,4.47E-05,0.069762339
133,3045,0.00011152,2.67E-10,0.000619133
134,3046,0.000163104,2.48E-10,0.000767318
135,3047,2.354198505,2.095052309,2.626698119
136,3048,2.733981485,2.488468547,2.989815989
137,3049,1.897418577,1.717840395,2.085027442
138,3050,0.000126112,1.88E-10,0.000608806
139,3051,0.00015597,1.68E-10,0.000629706
140,3052,9.88E-05,1.07E-10,0.000414333
141,3053,0.009905639,4.36E-05,0.057710971
142,3054,10.14710831,9.410737453,10.90826377
143,3401,1.645949268,1.465638719,1.835509991
144,3403,1.194730623,1.075060529,1.320059859
145,3405,1.88469356,1.7253801,2.050253964
146,3407,1.557554444,1.413838749,1.707506756
147,3411,1.445950069,1.31816751,1.579004321
148,3412,0.008114048,3.81E-05,0.046836374
149,3413,1.29661054,1.141717053,1.460264071
150,3414,0.010229398,4.72E-05,0.059215301
151,3415,0.008646694,3.82E-05,0.050336422
152,3416,0.676185583,0.496628749,0.880671935
153,3417,0.013027976,4.56E-05,0.07798343
154,3418,6.780005813,6.26797712,7.309908707
155,3419,9.29E-05,2.64E-10,0.000550153
156,3420,2.572612801,2.351342227,2.802734
157,3421,5.499609203,5.021753329,5.996803349
158,3422,0.011816507,3.43E-05,0.072441562
159,3423,9.79E-05,1.12E-10,0.000455893
160,3424,0.000122845,2.05E-10,0.000620411
161,3425,0.000133482,7.73E-11,0.000430642
162,3426,0.000138053,8.94E-11,0.000447647
163,3427,0.010110557,3.62E-05,0.060466669
164,3428,0.000144908,1.95E-10,0.000649667
165,3429,0.000121208,1.42E-10,0.00050627
166,3430,0.000123194,1.54E-10,0.000527389
167,3431,0.000107771,2.41E-10,0.000584155
168,3432,0.000128889,1.84E-10,0.000585431
169,3433,0.000109766,1.68E-10,0.00052953
170,3434,0.000114346,1.43E-10,0.000529407
171,3435,0.000102129,3.22E-10,0.000614366
172,3436,0.007931703,2.87E-05,0.047328343
173,3437,0.008645058,3.44E-05,0.050997821
174,3438,0.000105403,1.02E-10,0.000496792
175,3439,0.010785058,4.04E-05,0.064110601
176,3440,0.011273113,4.61E-05,0.066280385
177,3441,0.008687557,3.86E-05,0.050541703
178,3442,1.369027252,1.192118123,1.556904013
179,3443,1.862312274,1.638028799,2.099401981
180,3446,2.62569254,2.359360933,2.904765049
181,3447,0.884003108,0.657865438,1.140179472
182,3448,5.656303046,5.099108129,6.239460569
183,3449,8.74E-05,1.66E-10,0.000459218
184,3450,0.000157813,3.40E-11,0.00042586
185,3451,0.854878955,0.641830633,1.09536656
186,3452,0.000112711,1.27E-10,0.000469622
187,3453,0.000122622,2.59E-10,0.000655597
188,3454,0.000147657,1.60E-10,0.000606991
189,3801,2.095483718,1.922862757,2.274675793
190,3802,2.019988381,1.833608985,2.214457355
191,3803,1.057074423,0.966606269,1.151140977
192,3804,0.79051493,0.718546311,0.865558578
193,3805,0.707768788,0.632750049,0.78652204
194,3806,1.121104939,1.010012689,1.237400757
195,3807,0.772889598,0.696493275,0.852856432
196,3808,2.711114555,2.439814981,2.995236804
197,3811,1.019517582,0.901063072,1.144458019
198,3812,0.000199761,3.11E-10,0.001007507
199,3813,2.648158236,2.382453824,2.926449595
200,3814,4.086695354,3.722022829,4.466586361
201,3815,0.013179928,4.46E-05,0.079360811
202,3816,7.715153419,7.059064697,8.397146959
203,3817,0.555601824,0.415972513,0.713394186
204,3818,0.009940762,3.74E-05,0.059071662
205,3819,0.000147569,1.62E-10,0.000592055
206,3820,0.000113925,2.32E-10,0.000593473
207,3821,0.000133917,1.95E-10,0.000618965
208,3822,0.000172468,1.51E-10,0.00062653
209,3823,0.000162492,1.53E-10,0.000607579
210,3824,0.000138425,2.33E-10,0.000675905
211,3825,9.37E-05,1.79E-10,0.000486318
212,4201,0.569072526,0.408299728,0.753888927
213,4202,1.502585889,1.332518137,1.681683507
214,4203,0.931763712,0.83818668,1.029776838
215,4204,0.461787753,0.416664529,0.508997713
216,4205,1.566943308,1.394246615,1.748549181
217,4206,0.502854343,0.373135723,0.649976225
218,4207,3.505053055,3.141436826,3.886420977
219,4211,0.00011739,1.90E-10,0.000559425
220,4212,0.000164991,1.63E-10,0.000624703
221,4213,0.010162323,4.48E-05,0.059183009
222,4214,0.014216422,4.88E-05,0.085485471
