"kommunenummer","Rate"
"301","0.45324833536372"
"1101","5.7855848320089"
"1103","5.8584068137778"
"1106","6.4126635662497"
"1108","5.651896574743"
"1111","7.6569678407351"
"1112","6.2774639045825"
"1114","10.478226245861"
"1119","5.1717988348591"
"1120","5.9205610162672"
"1121","5.7142857142857"
"1122","5.9002664636467"
"1124","4.4539614561028"
"1127","6.0740593490817"
"1130","7.2941383249846"
"1133","8.5287846481876"
"1134","8.3116883116883"
"1135","9.1431001488412"
"1144","18.939393939394"
"1145","11.94743130227"
"1146","7.653812187224"
"1149","6.4398572248708"
"1160","7.471679922873"
"1505","8.6126431904964"
"1506","7.8216009319354"
"1507","7.176396150388"
"1511","9.1454492244659"
"1514","5.7142857142857"
"1515","8.6722137583499"
"1516","7.6119210424461"
"1517","7.2992700729927"
"1520","6.1698640701822"
"1525","6.8002428658166"
"1528","7.5698251109371"
"1531","7.5345849802372"
"1532","5.4553084347461"
"1535","8.610086100861"
"1539","8.1081081081081"
"1547","6.1557402277624"
"1554","7.9710144927536"
"1557","9.6824167312161"
"1560","9.7879282218597"
"1563","7.5684601623779"
"1566","7.9004874768869"
"1573","11.958612800915"
"1576","11.070110701107"
"1577","6.3881565605354"
"1578","8.5339561624147"
"1579","6.6603980567309"
"1804","6.7924843772859"
"1806","6.683451590753"
"1811","10.469011725293"
"1812","10.42524005487"
"1813","4.922917476357"
"1815","17.716535433071"
"1816","25.641025641026"
"1818","13.861214588928"
"1820","7.5383771929825"
"1822","11.243386243386"
"1824","6.5379123769445"
"1825","14.410606206168"
"1826","11.961722488038"
"1827","15.527950310559"
"1828","7.9013906447535"
"1832","9.5652173913043"
"1833","6.9414486842621"
"1834","11.506276150628"
"1835","32.65306122449"
"1836","18.031942297785"
"1837","6.9172932330827"
"1838","8.6633663366337"
"1839","10.361352156456"
"1840","9.2037671232877"
"1841","8.9163956781706"
"1845","12.289816211385"
"1848","11.454753722795"
"1851","10.928961748634"
"1853","9.5805833510752"
"1856","16.528925619835"
"1857","17.188693659282"
"1859","9.453781512605"
"1860","6.8645640074212"
"1865","7.5362961321068"
"1866","7.1933366986371"
"1867","7.5667064914377"
"1868","8.2731648616125"
"1870","6.4935064935065"
"1871","8.1462348499901"
"1874","14.285714285714"
"1875","11.649393428135"
"3001","7.1868583162218"
"3002","7.0036472667875"
"3003","5.889593788467"
"3004","7.1467839472237"
"3005","7.2478573656082"
"3006","6.2176165803109"
"3007","7.1167000621848"
"3011","9.8824786324786"
"3012","11.492220650636"
"3013","10.644418872267"
"3014","6.5923907755181"
"3015","8.3892617449664"
"3016","6.3149585580845"
"3017","7.4863230636337"
"3018","6.1228952547562"
"3019","6.0511286374762"
"3020","5.4044987793287"
"3021","5.6774039323493"
"3022","6.6828675577157"
"3023","7.0225520982015"
"3024","5.9846261603525"
"3025","5.9854485502312"
"3026","7.3807968647943"
"3027","5.213567839196"
"3028","6.8212824010914"
"3029","6.695088267083"
"3030","6.1707782927513"
"3031","5.7169855894165"
"3032","4.8228529029865"
"3033","6.249792227652"
"3034","6.5095280592157"
"3035","7.7622112836047"
"3036","6.2904385334292"
"3037","8.5910652920962"
"3038","5.3745928338762"
"3039","20"
"3040","6.5312046444122"
"3041","4.3744531933508"
"3042","8.5669781931464"
"3043","7.8506259282835"
"3044","8.4836689372957"
"3045","6.2429057888763"
"3046","12.939001848429"
"3047","6.4142194744977"
"3048","6.53440866545"
"3049","6.785411365564"
"3050","7.716049382716"
"3051","11.577424023155"
"3052","8.716323296355"
"3053","7.0765843686114"
"3054","6.0087820660966"
"3401","7.6278963064923"
"3403","7.6058893308213"
"3405","6.8872078581913"
"3407","6.9717677918133"
"3411","7.7035503318921"
"3412","5.5759553923569"
"3413","7.2569698235356"
"3414","7.2364560923137"
"3415","7.1510662750607"
"3416","10.636608985553"
"3417","9.5541401273885"
"3418","7.3713307884691"
"3419","6.2968687389089"
"3420","7.0073577256119"
"3421","8.7355641101569"
"3422","6.4345095616812"
"3423","7.0356472795497"
"3424","12.158054711246"
"3425","11.040138790316"
"3426","9.3315235833051"
"3427","6.3694267515924"
"3428","10.443627117105"
"3429","7.7452667814114"
"3430","6.9856793573175"
"3431","8.8375961738407"
"3432","7.0803621099479"
"3433","9.6660383741723"
"3434","9.3710953769263"
"3435","9.4136632598171"
"3436","6.1707233459033"
"3437","8.8274483677548"
"3438","11.069600110696"
"3439","7.243195785777"
"3440","6.7644234965523"
"3441","6.1879172773164"
"3442","7.4637085729937"
"3443","6.4047488869796"
"3446","6.1039154384398"
"3447","8.2234024327566"
"3448","7.7427039904705"
"3449","8.9549093973873"
"3450","14.409221902017"
"3451","6.0918462980319"
"3452","6.765899864682"
"3453","8.1993062125512"
"3454","8.0811708718685"
"3801","6.7982793055769"
"3802","7.6307805461065"
"3803","7.1635892052121"
"3804","7.5977987996475"
"3805","6.8578276887567"
"3806","5.8784921382302"
"3807","5.3766538011022"
"3808","6.6957082929977"
"3811","7.9188609323191"
"3812","7.6773164826079"
"3813","5.0605844618674"
"3814","7.4801309022908"
"3815","6.4662140316844"
"3816","8.5352842554489"
"3817","5.5461271394185"
"3818","7.7853238363426"
"3819","11.479858067209"
"3820","6.3451776649746"
"3821","6.3974410235906"
"3822","9.4899169632266"
"3823","9.8692326671601"
"3824","10.074841681059"
"3825","7.6481835564054"
"4201","7.7135788094892"
"4202","5.7628583777554"
"4203","6.0148239361576"
"4204","5.8929184072975"
"4205","5.6592579069874"
"4206","7.3287307488051"
"4207","6.9899034727616"
"4211","6.6746762782005"
"4212","8.1760071354244"
