,kommunenummer,navn,SMR,RR
316,5060,Nærøysund,0.994562653,1.099402573
317,5061,Rindal,0,0.949514399
318,5401,Tromsø,0.979479195,0.970101385
319,5402,Harstad,1.180982258,1.005139949
320,5403,Alta,0.762641459,0.925131681
321,5404,Vardø,0,0.980089729
322,5405,Vadsø,1.252961154,0.907424783
323,5406,Hammerfest,0.830589468,0.905251819
324,5411,Kvæfjord,0,1.043016103
325,5412,Tjeldsund,1.473469876,1.114872072
326,5413,Ibestad,0.894384284,1.156423858
327,5414,Gratangen,0,1.106619026
328,5415,Lavangen,0,1.112546889
329,5416,Bardu,1.587263028,0.987931577
330,5417,Salangen,1.737707143,1.156934635
331,5418,Målselv,1.172920356,1.001536875
332,5419,Sørreisa,0.45710568,1.056983939
333,5420,Dyrøy,0,0.92922173
334,5421,Senja,1.266986434,1.053870584
335,5422,Balsfjord,1.418878072,1.0623077
336,5423,Karlsøy,1.228054049,1.027829207
337,5424,Lyngen,1.688478963,1.150603729
338,5425,Storfjord,0,0.966105751
339,5426,Kåfjord,0.652153188,0.988611994
340,5427,Skjervøy,0,0.984963642
341,5428,Nordreisa,1.154847803,0.997542712
342,5429,Kvænangen,0,0.843274959
343,5430,Kautokeino,0,0.919770437
344,5432,Loppa,0,0.950870142
345,5433,Hasvik,0,1.051617723
346,5434,Måsøy,0,0.947275988
347,5435,Nordkapp,1.022817973,0.94312864
348,5436,Porsanger,0,0.989411372
349,5437,Karasjok,0,1.009901503
350,5438,Lebesby,0,0.835588733
351,5439,Gamvik,0,0.99496282
352,5440,Berlevåg,0,0.836704826
353,5441,Tana,0.54012345,0.966635859
354,5442,Nesseby,0,0.840444384
355,5443,Båtsfjord,0,0.937715782
356,5444,Sør-Varanger,1.254205641,0.91622457
