,kommunenummer,navn,SMR,RR,LL,UL
166,3430,Os,0,0.364274958,0.015113128,1.632771819
167,3431,Dovre,0,0.277529401,0.009933012,1.312578848
168,3432,Lesja,0,0.294396329,0.011180464,1.373344224
169,3433,Skjåk,0,0.352373434,0.014286069,1.600317251
170,3434,Lom,0,0.310531354,0.011961126,1.43700368
171,3435,Vågå,0,0.213663956,0.010364064,0.909365332
172,3436,Nord-Fron,0,0.172001805,0.009505035,0.694848795
173,3437,Sel,0,0.178295782,0.010242571,0.712673231
174,3438,Sør-Fron,0,0.222050699,0.011201719,0.931780061
175,3439,Ringebu,0,0.235590463,0.012225353,0.973845193
176,3440,Øyer,0,0.244743824,0.012996174,0.999127609
177,3441,Gausdal,0,0.18527634,0.011118136,0.727919333
178,3442,Østre Toten,1.229526088,1.239275819,0.577606976,2.155143441
179,3443,Vestre Toten,1.250321107,1.278005293,0.564897108,2.288101142
180,3446,Gran,1.367314296,1.246202441,0.581945456,2.164867528
181,3447,Søndre Land,1.464133344,1.169285318,0.338064868,2.58079282
182,3448,Nordre Land,0,0.184411201,0.010906843,0.723800874
183,3449,Sør-Aurdal,0,0.254150369,0.013766544,1.026680232
184,3450,Etnedal,0,0.288983771,0.010658814,1.34245703
185,3451,Nord-Aurdal,0,0.175033606,0.010060968,0.698347648
186,3452,Vestre Slidre,0,0.296608675,0.011214431,1.376503002
187,3453,Øystre Slidre,0,0.220086199,0.011017386,0.926481694
188,3454,Vang,0,0.293190855,0.011120148,1.367106764
189,3801,Horten,1.471215497,1.442893644,0.87159543,2.149727106
190,3802,Holmestrand,1.424558028,1.428793458,0.820904102,2.197512929
191,3803,Tønsberg,1.29580452,1.313934816,0.905088828,1.792580383
192,3804,Sandefjord,1.607003342,1.610129946,1.182307847,2.097759444
193,3805,Larvik,1.338439164,1.353018171,0.913571924,1.871789013
194,3806,Porsgrunn,1.469847369,1.452449118,0.940943374,2.067059038
195,3807,Skien,1.144249358,1.150562042,0.771427865,1.59944596
196,3808,Notodden,0.939457243,0.966877931,0.374597746,1.854847613
197,3811,Færder,1.406821992,1.37309478,0.817399825,2.065005797
198,3812,Siljan,0,0.342932044,0.012700739,1.546611185
199,3813,Bamble,1.367514343,1.250902603,0.584474276,2.171965462
200,3814,Kragerø,1.550618095,1.527192519,0.673144135,2.738068467
201,3815,Drangedal,0,0.257342235,0.013317824,1.039615737
202,3816,Nome,0,0.202343025,0.012209354,0.778769259
