,kommunenummer,RR,LL,UL
145,3405,0.65686694,0.621593747,0.693015761
146,3407,0.498262661,0.467781301,0.529618123
147,3411,0.456532355,0.429618836,0.484186686
148,3412,2.430826461,2.300505629,2.564376595
149,3413,0.489637357,0.45379397,0.526697041
150,3414,1.998004049,1.866409069,2.133657289
151,3415,1.896947983,1.777569038,2.019859633
152,3416,1.974075996,1.853069172,2.098560688
153,3417,2.411981603,2.267448319,2.560566487
154,3418,1.566801076,1.474769484,1.66135604
155,3419,2.898455028,2.718893774,3.083238397
156,3420,0.639300936,0.598041726,0.681809824
157,3421,1.339478932,1.251215535,1.430465616
158,3422,2.797290697,2.621237394,2.978554996
159,3423,5.494816232,5.211483636,5.78487484
160,3424,4.068874548,3.801287014,4.344704438
161,3425,12.213579,11.58773136,12.85417968
162,3426,8.616304136,8.084280551,9.163743179
163,3427,2.621126088,2.465675279,2.780884255
164,3428,8.781816802,8.333054449,9.241127383
165,3429,11.94246914,11.4135592,12.48196064
166,3430,4.311746827,3.997562196,4.636546776
167,3431,0.00548873,0.000512485,0.017945734
168,3432,6.862251933,6.472952449,7.261822179
169,3433,3.113209218,2.879731526,3.354786564
170,3434,8.041367461,7.657329528,8.433781598
171,3435,4.19506746,3.972874908,4.422692968
172,3436,2.379214713,2.247781095,2.514014997
173,3437,2.887330142,2.738732062,3.039448304
174,3438,4.978292521,4.709534843,5.253762074
175,3439,2.38846891,2.237751269,2.543660379
176,3440,3.290479029,3.110977592,3.474515032
177,3441,1.883302333,1.763967841,2.006193329
178,3442,0.923345321,0.868283713,0.979941894
179,3443,0.891010976,0.832467333,0.951356282
180,3446,0.901942338,0.843313163,0.962358621
181,3447,2.309225346,2.165594042,2.45705242
182,3448,2.742493496,2.596393178,2.892188794
183,3449,3.869222667,3.645325699,4.099157185
184,3450,8.732141045,8.24252126,9.234510282
185,3451,2.569065442,2.423969492,2.717969803
186,3452,6.679882577,6.297015916,7.072965237
187,3453,4.373291501,4.104510119,4.649820532
188,3454,0.008889892,0.00069375,0.03066459
189,3801,0.636335132,0.600703501,0.672893184
190,3802,0.651764586,0.612066182,0.692595946
