,kommunenummer,RR,LL,UL
246,4618,3.630540508,3.367717887,3.902188489
247,4619,0.002063768,2.13E-07,0.015475838
248,4620,0.001269506,5.01E-08,0.008709675
249,4621,2.28322115,2.098244759,2.475104024
250,4622,5.447024975,5.053448808,5.853794739
251,4623,0.001732441,3.39E-07,0.013176117
252,4624,2.687645052,2.488309051,2.893825633
253,4625,0.011895741,0.000114641,0.062403914
254,4626,0.813064692,0.718934426,0.912326871
255,4627,1.758857116,1.599932384,1.924512373
256,4628,4.393170096,3.90595019,4.905668617
257,4629,0.003641478,5.03E-08,0.018431121
258,4630,3.897453397,3.508017342,4.305268558
259,4631,1.961440098,1.806927452,2.121560128
260,4632,0.001392306,7.30E-08,0.010453353
261,4633,0.00156065,1.80E-08,0.008517501
262,4634,0.001060886,8.68E-08,0.007933642
263,4635,0.000652828,2.87E-08,0.004689614
264,4636,0.001045929,1.38E-08,0.005704584
265,4637,0.000852561,2.70E-08,0.005772878
266,4638,0.013025741,0.000232449,0.061702806
267,4639,0.000965086,1.87E-07,0.007337812
268,4640,0.00579789,0.000107866,0.027200855
269,4641,0.000971096,4.96E-08,0.006951644
270,4642,0.001170844,1.21E-07,0.00881531
271,4643,0.01533563,0.000286769,0.071595926
272,4644,5.409151685,4.894587154,5.946866749
273,4645,0.000584329,4.20E-08,0.004387252
274,4646,0.000366307,4.38E-09,0.00216426
275,4647,1.753016294,1.586313624,1.927216401
276,4648,0.000687694,7.18E-08,0.005254082
277,4649,1.627067361,1.42265522,1.843743717
278,4650,0.008695558,0.000135715,0.042169107
279,4651,0.008305886,0.000127425,0.040413485
280,5001,0.194160701,0.175217423,0.213978895
281,5006,1.138918277,1.030982944,1.251688287
282,5007,1.287370896,1.135773567,1.447400655
283,5014,0.010897555,8.61E-05,0.058944334
284,5020,0.000304808,2.26E-09,0.001206267
285,5021,0.00760023,0.000126274,0.036490748
286,5022,0.000429127,1.92E-08,0.002964742
287,5025,0.589908248,0.437709503,0.762537043
288,5026,0.000601637,3.26E-08,0.004305019
289,5027,0.008113089,0.000114812,0.04007585
290,5028,1.779010824,1.596808805,1.970005162
291,5029,4.385488241,3.926557894,4.867006354
292,5031,0.362495449,0.264410332,0.47451358
293,5032,0.000472394,4.54E-08,0.003562354
294,5033,0.000794408,2.46E-08,0.00511674
295,5034,0.000368233,1.30E-08,0.002433848
296,5035,1.515634815,1.375147973,1.662252556
297,5036,0.000461821,6.70E-09,0.002884116
298,5037,1.499964614,1.34929891,1.657774847
299,5038,1.603920766,1.42321556,1.794170967
300,5041,0.000230451,3.90E-09,0.001232394
301,5042,0.000213347,1.88E-09,0.000902469
302,5043,0.000259779,1.69E-09,0.00092056
303,5044,0.000218161,1.75E-09,0.000862063
304,5045,0.000192182,2.85E-09,0.001014201
305,5046,0.000273185,2.72E-09,0.001165496
306,5047,0.000259787,5.37E-09,0.00156813
307,5049,0.000310271,1.64E-09,0.001125994
308,5052,0.000300671,9.27E-10,0.000904755
309,5053,0.007791249,7.97E-05,0.040657444
310,5054,0.363173693,0.27023416,0.468467895
311,5055,0.010372556,0.000147055,0.051224065
312,5056,0.010368223,9.72E-05,0.05470701
313,5057,0.004461984,4.59E-05,0.023217183
314,5058,0.007867715,4.99E-05,0.044217544
315,5059,1.338514811,1.197645698,1.486353143
316,5060,0.004837489,3.65E-05,0.026452404
317,5061,0.000707644,3.77E-08,0.005087006
318,5401,0.552732203,0.497425652,0.610652916
319,5402,1.30022718,1.175806793,1.430284378
320,5403,1.629107654,1.448269416,1.819336998
321,5404,5.99E-05,4.83E-11,0.000141489
322,5405,0.004530142,4.49E-06,0.031027743
323,5406,0.003132959,5.73E-06,0.020298904
324,5411,0.000102715,7.58E-10,0.000422759
325,5412,0.006258216,2.35E-05,0.037672396
326,5413,0.000509225,5.43E-09,0.002894132
327,5414,8.83E-05,4.62E-10,0.000309392
