;kommunenummer;new_cases;Expected;RelativeRisk;PhyRate;PctPoverty;PctAct;PctOld;PctPrimary;PctUrban;PctImmigrants;SpecRate;PctSmoke;PctCramped;ColonRate;GPRate;PhyRate2;PhyRate3
11;1121;65;73,40289384;0,885523671;0,004316109;0,068;0,23;0,118115502;0,26;0,860972644;0,029;0,014819964;0,088;0,07;0,006536952;0,000972644;0,000191312;19,13122674
12;1122;44;46,88860842;0,938394239;0,006154041;0,059;0,29;0,085744195;0,32;0,88351732;0,022;0,014819964;0,094;0,07;0,006536952;0,000919934;0,000174247;17,42468539
13;1124;66;104,1919496;0,633446252;0,00324768;0,094;0,21;0,10882227;0,25;0,869978587;0,048;0,014819964;0,059;0,07;0,006536952;0,00089222;0,000204336;20,43358725
14;1127;44;44,89401307;0,980086141;0,006493722;0,084;0,25;0,118974257;0,25;0,861246397;0,024;0,014819964;0,073;0,07;0,006536952;0,001027068;0,000176043;17,60432132
15;1130;58;50,77516894;1,142290636;0,005873393;0,075;0,28;0,135688549;0,35;0,792864048;0,028;0,014819964;0,105;0,07;0,006536952;0,001039927;0,000180085;18,00850217
16;1133;14;12,55658014;1,114953263;0,020255864;0,081;0,23;0,163468372;0,29;0,21286425;0,042;0,014819964;0,099;0,08;0,006536952;0,000710732;0,000153589;15,35887217
17;1134;20;17,17940069;1,164184966;0,008961039;0,072;0,28;0,184155844;0,28;0,298961039;0,01;0,015521236;0,1;0;0,007599863;0,001688312;0,000191244;19,12438054
18;1135;30;20,98564193;1,429548836;0,007229428;0,06;0,25;0,201573464;0,31;0,897724856;0,011;0,015521236;0,1;0,05;0,007599863;0,001275781;0,000188472;18,8472156
19;1144;0;2,356032094;0;0,106060606;0,056;0;0,227272727;0,36;0,770833333;0;0,014819964;0;0;0,006536952;0,001893939;0,000150894;15,08941828
20;1145;2;3,734846331;0,535497266;0,034647551;0,078;0,41;0,181600956;0,34;0;0;0,015521236;0,091;0;0,007599863;0,001194743;0,000160756;16,07556625
21;1146;60;45,47409673;1,319432475;0,003647009;0,056;0,28;0,129035423;0,29;0,542831911;0,02;0,015521236;0,06;0,06;0,007599863;0,000899486;0,000206026;20,60259352
22;1149;192;178,7683973;1,074015334;0,001364518;0,076;0,32;0,139704965;0,32;0,832364027;0,026;0,015521236;0,109;0,05;0,007599863;0,000665618;0,000303034;30,30336626
23;1151;0;0,963831311;0;0,134259259;0,056;0;0,180555556;0,34;0;0,046;0,015521236;0;0;0,007599863;0,00462963;0,000160756;16,07556625
24;1160;44;37,02718621;1,188316059;0,004679843;0,076;0,31;0,164859002;0,31;0,364545674;0,013;0,015521236;0,076;0,08;0,007599863;0,001305535;0,000215265;21,52647664
25;1505;148;105,1736297;1,407196847;0,002877952;0,083;0,23;0,158167162;0,3;0,884599067;0,038;0,016137622;0,118;0,09;0,012393693;0,00118088;0,000273667;27,36671669
26;1506;166;134,0662581;1,238193729;0,002496256;0,071;0,21;0,166417041;0,26;0,797370611;0,026;0,016137622;0,065;0,08;0,012393693;0,001164919;0,00030258;30,25804057
27;1507;294;267,9897264;1,097056981;0,001665057;0,078;0,27;0,151753305;0,27;0,85102734;0,03;0,016137622;0,083;0,09;0,012393693;0,000999034;0,000403441;40,34405409
28;1511;18;15,24727588;1,180538749;0,012925568;0,078;0,36;0,214515657;0,34;0,225051215;0,01;0,016137622;0,139;0,07;0,012393693;0,001219393;0,000178186;17,81862389
29;1514;10;11,71322774;0,853735642;0,01631746;0,072;0,35;0,2;0,39;0,210285714;0,01;0,016137622;0,103;0,06;0,012393693;0,001079365;0,000172807;17,28070317
30;1515;44;38,07579898;1,155589671;0,001914137;0,084;0,23;0,165943982;0,35;0,638931208;0,026;0,009413315;0,123;0,05;0,014072906;0,000976601;0,000192189;19,21885173
31;1516;42;34,58637266;1,214351109;0,006429278;0,076;0,16;0,132628048;0,25;0,764804541;0,039;0,016137622;0,039;0,06;0,012393693;0,001268654;0,000201048;20,10478696
32;1517;25;22,00748161;1,135977321;0,009225466;0,086;0,24;0,154501217;0,3;0,857461476;0,055;0,016137622;0,063;0,05;0,012393693;0,001115166;0,000183565;18,35654461
33;1520;47;46,28621385;1,015421139;0,005141553;0,065;0,27;0,176515955;0,31;0,684662104;0,024;0,016137622;0,11;0,06;0,012393693;0,001285388;0,000215168;21,51682885
34;1525;21;20,41448263;1,02868147;0,009763206;0,058;0,2;0,201967213;0,33;0,669508197;0,019;0,016137622;0,086;0,07;0,012393693;0,001020036;0,000180203;18,02034416
35;1528;44;34,18923846;1,286954667;0,00596015;0,059;0,27;0,156356043;0,34;0,732184808;0,032;0,016137622;0,109;0,08;0,012393693;0,000739581;0,000184238;18,4237847
