komunenummer,komunenavn,digestive,exercise,smoke,snuff
4212,Vegårshei,141,12.775,16.077,13.062
4213,Tvedestrand,133,13.551,16.436,12.578
4214,Froland,139,12.889,17.203,14.362
4215,Lillesand,111,12.815,16.565,13.070
4216,Birkenes,88,12.498,16.555,13.497
4217,Åmli,136,0.000,46.924,32.220
4218,Iveland,110,0.000,44.391,31.090
4219,Evje og Hornnes,149,12.988,16.401,13.154
4220,Bygland,124,0.000,45.739,32.522
4221,Valle,104,0.000,47.330,33.937
4222,Bykle,0,5.826,14.831,18.962
4223,Vennesla,118,12.818,16.819,13.632
4224,Åseral,118,6.838,11.859,18.910
4225,Lyngdal,117,12.237,28.488,21.470
4226,Hægebostad,163,0.000,41.630,31.861
4227,Kvinesdal,154,12.903,16.261,13.118
4228,Sirdal,113,0.000,45.385,32.544
4601,Bergen,137,7.144,20.473,16.754
4602,Kinn,133,9.272,16.381,23.160
4611,Etne,144,9.051,15.992,22.934
4612,Sveio,170,9.486,16.149,24.356
4613,Bømlo,130,9.295,16.205,23.927
4614,Stord,129,9.306,16.044,24.669
4615,Fitjar,128,9.182,16.076,24.318
4616,Tysnes,140,9.623,16.708,21.572
4617,Kvinnherad,148,9.518,16.446,23.266
4618,Ullensvang,125,8.628,15.557,18.490
4619,Eidfjord,112,9.413,15.947,15.725
4620,Ulvik,154,6.308,12.523,13.265
4621,Voss,130,9.661,15.761,19.960
4622,Kvam,107,9.421,16.149,22.437
4623,Samnanger,157,9.533,16.349,22.718
4624,Bjørnafjorden,130,9.345,15.677,20.060
4625,Austevoll,160,9.658,15.399,23.925
4626,Øygarden,138,9.263,15.899,22.370
4627,Askøy,144,8.576,15.632,18.210
4628,Vaksdal,136,9.598,16.617,22.892
4629,Modalen,123,9.737,6.842,11.579
4630,Osterøy,135,9.517,15.607,24.273
4631,Alver,129,9.373,16.059,24.420
4632,Austrheim,121,9.466,16.401,21.637
4633,Fedje,107,7.871,14.669,13.596
4634,Masfjorden,140,6.280,12.085,13.566
4635,Gulen,111,9.302,16.150,20.887
4636,Solund,143,8.744,14.039,14.778
4637,Hyllestad,121,6.370,13.185,12.889
4638,Høyanger,147,9.467,16.977,22.798
4639,Vik,142,9.217,15.624,21.431
4640,Sogndal,145,8.194,14.881,20.660
4641,Aurland,156,5.879,11.815,14.498
4642,Lærdal,150,9.324,15.851,22.005
4643,Årdal,151,9.386,16.482,22.110
4644,Luster,116,9.221,15.760,23.688
4645,Askvoll,131,9.280,16.347,21.532
4646,Fjaler,161,9.184,16.429,23.125
4647,Sunnfjord,130,9.346,15.860,24.950
4648,Bremanger,167,9.010,15.963,20.130
4649,Stad,122,9.409,16.300,23.500
4650,Gloppen,154,9.188,16.297,23.150
4651,Stryn,122,9.158,15.492,22.301
5001,Trondheim,135,10.064,16.458,17.510
5006,Steinkjer,132,9.466,29.916,20.500
5007,Namsos,136,24.552,24.939,17.640
5014,Frøya,138,7.941,31.743,11.822
5020,Osen,108,0.000,36.394,31.243
5021,Oppdal,111,10.230,18.000,15.554
5022,Rennebu,165,11.445,16.166,15.646
5025,Røros,114,10.490,16.084,15.564
5026,Holtålen,123,11.012,14.420,15.062
5027,Midtre Gauldal,126,9.606,21.622,14.088
5028,Melhus,104,9.868,18.109,17.371
5029,Skaun,119,9.839,17.340,19.021
5031,Malvik,130,9.387,19.304,17.448
5032,Selbu,95,10.642,16.332,16.258
5033,Tydal,151,0.000,37.917,27.770
5034,Meråker,78,11.418,16.694,15.169
5035,Stjørdal,129,6.736,42.213,26.184
5036,Frosta,147,10.831,18.383,15.027
5037,Levanger,118,6.405,42.417,25.630
5038,Verdal,124,10.286,16.382,17.799
5041,Snåase Snåsa,158,11.371,16.054,16.484
5042,Lierne,149,42.059,23.065,5.188
5043,Raarvihke Røyrvik,114,17.849,5.161,12.258
5044,Namsskogan,153,0.000,36.410,28.571
5045,Grong,80,11.524,16.631,15.365
5046,Høylandet,119,37.395,24.454,5.126
5047,Overhalla,156,10.324,18.210,16.809
5049,Flatanger,72,41.182,21.713,4.791
5052,Leka,115,0.000,34.104,31.407
5053,Inderøy,152,10.757,16.099,17.220
5054,Indre Fosen,131,10.829,17.107,16.042
5055,Heim,118,8.700,22.389,19.740
5056,Hitra,140,9.396,25.128,12.949
5057,Ørland,141,10.414,16.754,16.760
5058,Åfjord,144,11.128,25.810,23.320
5059,Orkland,112,19.662,18.600,12.680
5060,Nærøysund,122,10.422,18.244,17.120
5061,Rindal,121,11.518,14.483,17.499
5401,Tromsø,140,9.359,11.770,19.230
5402,Harstad Hárstták,138,9.018,10.577,17.600
5403,Alta,102,8.927,11.037,18.957
5404,Vardø,128,15.929,19.297,16.747
5405,Vadsø,140,13.502,18.342,18.478
5406,Hammerfest,100,10.955,19.910,16.270
5411,Kvæfjord,115,13.815,18.513,17.356
5412,Tjeldsund,145,11.878,13.787,15.760
5413,Ibestad,153,9.621,9.038,18.586
5414,Gratangen,141,8.869,8.597,21.267
5415,Loabák Lavangen,103,9.597,8.541,19.770
5416,Bardu,165,13.587,18.231,20.343
5417,Salangen,170,13.073,17.615,17.523
5418,Målselv,138,13.996,18.642,19.788
5419,Sørreisa,116,13.712,18.904,18.445
5420,Dyrøy,179,10.097,9.566,18.423
5421,Senja,134,9.080,18.173,16.690
5422,Balsfjord,144,14.553,18.538,17.613
5423,Karlsøy,134,15.497,18.783,15.586
5424,Lyngen,132,13.889,17.722,16.526
5425,Storfjord Omasvuotna Omasvuono,145,9.249,8.814,20.076
5426,Gáivuotna Kåfjord Kaivuono,144,14.640,18.312,17.406
5427,Skjervøy,97,14.913,18.581,17.724
5428,Nordreisa Ráisa Raisi,123,13.872,18.476,19.169
5429,Kvænangen,153,9.401,9.734,18.220
5430,Guovdageaidnu Kautokeino,156,13.797,18.521,19.925
5432,Loppa,125,7.726,20.971,13.245
5433,Hasvik,81,7.751,7.368,25.359
5434,Måsøy,94,8.340,7.773,22.672
5435,Nordkapp,122,14.589,18.672,17.488
5436,Porsanger Porsá?gu Porsanki,101,13.895,18.966,17.977
5437,Kárášjohka Karasjok,106,13.820,18.914,20.150
5438,Lebesby,145,7.907,8.057,24.172
5439,Gamvik,145,7.870,7.699,27.545
5440,Berlevåg,132,7.172,27.869,13.627
5441,Deatnu Tana,134,13.994,18.832,17.865
5442,Unjárga Nesseby,143,8.820,17.003,13.496
5443,Båtsfjord,101,15.286,17.930,14.978
5444,Sør-Varanger,152,13.911,18.742,18.239
