kommunenummer,kommunenavn,,,
1133,Hjelmeland,Agder og Rogaland,434,429
138,Hobøl,Østlandet ellers,771,845
620,Hol,Østlandet ellers,526,577
612,Hole,Østlandet ellers,951,1025
715,Holmestrand,Østlandet ellers,1836,2113
5026,Holtålen,Trøndelag,287,246
1444,Hornindal,Vestlandet,166,193
701,Horten,Østlandet ellers,3770,4160
1416,Høyanger,Vestlandet,585,614
5046,Høylandet,Trøndelag,192,193
239,Hurdal,Akershus og Oslo,364,429
628,Hurum,Østlandet ellers,1256,1346
111,Hvaler,Østlandet ellers,491,566
1413,Hyllestad,Vestlandet,189,186
1917,Ibestad,Nord-Norge,133,192
5053,Inderøy,Trøndelag,1036,1072
5054,Indre Fosen,Trøndelag,1392,1542
935,Iveland,Agder og Rogaland,207,224
532,Jevnaker,Hedmark og Oppland,971,979
1431,Jølster,Vestlandet,460,548
1227,Jondal,Vestlandet,140,163
2021,Kárásjohka - Karasjok,Nord-Norge,383,410
1936,Karlsøy,Nord-Norge,237,268
1149,Karmøy,Agder og Rogaland,6559,7054
5030,Klæbu,Trøndelag,1032,1105
1120,Klepp,Agder og Rogaland,3276,3477
604,Kongsberg,Østlandet ellers,3826,4144
402,Kongsvinger,Hedmark og Oppland,2299,2397
815,Kragerø,Østlandet ellers,1265,1397
1001,Kristiansand,Agder og Rogaland,15032,15460
1505,Kristiansund,Vestlandet,3241,3585
622,Krødsherad,Østlandet ellers,282,298
1911,Kvæfjord,Nord-Norge,366,421
1943,Kvænangen,Nord-Norge,142,153
2017,Kvalsund,Nord-Norge,104,128
1238,Kvam,Vestlandet,1225,1326
1037,Kvinesdal,Agder og Rogaland,920,970
1224,Kvinnherad,Vestlandet,1944,2063
829,Kviteseid,Østlandet ellers,280,308
1144,Kvitsøy,Agder og Rogaland,66,85
1422,Lærdal,Vestlandet,271,326
712,Larvik,Østlandet ellers,6281,6873
2022,Lebesby,Nord-Norge,158,184
1419,Leikanger,Vestlandet,346,393
1822,Leirfjord,Nord-Norge,334,384
5052,Leka,Trøndelag,73,59
1931,Lenvik,Nord-Norge,1760,1924
512,Lesja,Hedmark og Oppland,261,321
5037,Levanger,Trøndelag,3157,3267
626,Lier,Østlandet ellers,3889,4166
5042,Lierne,Trøndelag,180,218
501,Lillehammer,Hedmark og Oppland,4032,4206
926,Lillesand,Agder og Rogaland,1658,1807
1263,Lindås,Vestlandet,2513,2635
1029,Lindesnes,Agder og Rogaland,728,833
1920,Loabák - Lavangen,Nord-Norge,146,160
1851,Lødingen,Nord-Norge,254,253
514,Lom,Hedmark og Oppland,289,325
2014,Loppa,Nord-Norge,86,116
230,Lørenskog,Akershus og Oslo,5873,6387
415,Løten,Hedmark og Oppland,1006,1099
1112,Lund,Agder og Rogaland,527,549
533,Lunner,Hedmark og Oppland,1249,1350
1834,Lurøy,Nord-Norge,237,279
1426,Luster,Vestlandet,776,837
1032,Lyngdal,Agder og Rogaland,1432,1607
1938,Lyngen,Nord-Norge,373,387
1924,Målselv,Nord-Norge,944,1145
5031,Malvik,Trøndelag,2241,2454
1002,Mandal,Agder og Rogaland,2339,2547
119,Marker,Østlandet ellers,417,487
1021,Marnardal,Agder og Rogaland,382,357
1266,Masfjorden,Vestlandet,249,262
2018,Måsøy,Nord-Norge,127,151
1256,Meland,Vestlandet,1325,1512
5023,Meldal,Trøndelag,528,546
5028,Melhus,Trøndelag,2543,2783
1837,Meløy,Nord-Norge,913,971
5034,Meråker,Trøndelag,291,340
1545,Midsund,Vestlandet,298,341
5027,Midtre Gauldal,Trøndelag,872,920
1252,Modalen,Vestlandet,63,64
623,Modum,Østlandet ellers,1819,2025
1502,Molde,Vestlandet,3943,4105
1874,Moskenes,Nord-Norge,101,125
104,Moss,Østlandet ellers,4429,4712
5051,Nærøy,Trøndelag,701,807
5040,Namdalseid,Trøndelag,209,231
5005,Namsos,Trøndelag,2019,2190
5044,Namsskogan,Trøndelag,111,129
238,Nannestad,Akershus og Oslo,2097,2199
1805,Narvik,Nord-Norge,2577,2706
1433,Naustdal,Vestlandet,406,486
625,Nedre Eiker,Østlandet ellers,3724,3983
236,Nes (Akershus),Akershus og Oslo,3131,3295
616,Nes (Buskerud),Østlandet ellers,387,423
1828,Nesna,Nord-Norge,240,300
216,Nesodden,Akershus og Oslo,2948,3174
1543,Nesset,Vestlandet,400,420
830,Nissedal,Østlandet ellers,197,208
233,Nittedal,Akershus og Oslo,3893,3970
819,Nome,Østlandet ellers,856,948
542,Nord-Aurdal,Hedmark og Oppland,796,883
1524,Norddal,Vestlandet,234,245
516,Nord-Fron,Hedmark og Oppland,732,819
2019,Nordkapp,Nord-Norge,407,450
418,Nord-Odal,Hedmark og Oppland,605,645
538,Nordre Land,Hedmark og Oppland,903,901
1942,Nordreisa - Ráisa - Raisi,Nord-Norge,671,799
633,Nore og Uvdal,Østlandet ellers,282,369
807,Notodden,Østlandet ellers,1722,1874
1228,Odda,Vestlandet,838,941
1868,Øksnes,Nord-Norge,607,619
5021,Oppdal,Trøndelag,967,1067
217,Oppegård,Akershus og Oslo,4179,4392
5024,Orkdal,Trøndelag,1708,1924
5015,Ørland,Trøndelag,735,811
1523,Ørskog,Vestlandet,306,331
1520,Ørsta,Vestlandet,1639,1682
441,Os (Hedmark),Hedmark og Oppland,241,271
1243,Os (Hordaland),Vestlandet,3380,3579
5020,Osen,Trøndelag,114,125
301,Oslo municipality,Akershus og Oslo,95423,95822
1253,Osterøy,Vestlandet,1248,1349
528,Østre Toten,Hedmark og Oppland,1951,2060
5047,Overhalla,Trøndelag,586,656
624,Øvre Eiker,Østlandet ellers,2696,2937
521,Øyer,Hedmark og Oppland,701,737
1259,Øygarden,Vestlandet,771,826
544,Øystre Slidre,Hedmark og Oppland,386,467
2020,Porsanger - Porsángu - Porsanki,Nord-Norge,515,542
805,Porsgrunn,Østlandet ellers,5139,5318
5043,Raarvihke - Røyrvik,Trøndelag,65,62
135,Råde,Østlandet ellers,951,1152
1260,Radøy,Vestlandet,766,803
228,Rælingen,Akershus og Oslo,2750,2978
128,Rakkestad,Østlandet ellers,1166,1218
1833,Rana,Nord-Norge,3714,4011
1127,Randaberg,Agder og Rogaland,1850,2005
1539,Rauma,Vestlandet,1005,1128
716,Re,Østlandet ellers,1431,1587
432,Rendalen,Hedmark og Oppland,206,204
5022,Rennebu,Trøndelag,336,370
1142,Rennesøy,Agder og Rogaland,838,851
5061,Rindal,Trøndelag,289,309
520,Ringebu,Hedmark og Oppland,574,567
605,Ringerike,Østlandet ellers,3942,4290
412,Ringsaker,Hedmark og Oppland,4712,5080
901,Risør,Agder og Rogaland,864,959
5019,Roan,Trøndelag,112,131
1836,Rødøy,Nord-Norge,206,190
632,Rollag,Østlandet ellers,186,198
121,Rømskog,Østlandet ellers,79,89
5025,Røros,Trøndelag,736,726
1856,Røst,Nord-Norge,63,55
627,Røyken,Østlandet ellers,3429,3693
136,Rygge,Østlandet ellers,2165,2453
1923,Salangen,Nord-Norge,300,359
1840,Saltdal,Nord-Norge,603,664
1242,Samnanger,Vestlandet,315,386
1514,Sande (Møre og Romsdal),Vestlandet,307,356
713,Sande (Vestfold),Østlandet ellers,1448,1555
710,Sandefjord,Østlandet ellers,8924,9882
1102,Sandnes,Agder og Rogaland,12556,13331
1546,Sandøy,Vestlandet,152,186
105,Sarpsborg,Østlandet ellers,7937,8532
1135,Sauda,Agder og Rogaland,666,672
822,Sauherad,Østlandet ellers,563,634
517,Sel,Hedmark og Oppland,769,807
5032,Selbu,Trøndelag,561,602
1441,Selje,Vestlandet,407,387
828,Seljord,Østlandet ellers,393,410
621,Sigdal,Østlandet ellers,429,498
811,Siljan,Østlandet ellers,284,364
1046,Sirdal,Agder og Rogaland,295,283
1913,Skånland,Nord-Norge,390,391
5029,Skaun,Trøndelag,1355,1414
231,Skedsmo,Akershus og Oslo,8322,8656
213,Ski,Akershus og Oslo,4787,5200
806,Skien,Østlandet ellers,7567,8151
127,Skiptvet,Østlandet ellers,586,587
513,Skjåk,Hedmark og Oppland,291,268
1941,Skjervøy,Nord-Norge,421,436
1529,Skodje,Vestlandet,783,806
1573,Smøla,Vestlandet,285,259
5041,Snåase - Snåsa,Trøndelag,298,318
5012,Snillfjord,Trøndelag,106,161
1420,Sogndal,Vestlandet,1301,1374
1018,Søgne,Agder og Rogaland,1840,1929
1111,Sokndal,Agder og Rogaland,495,542
1124,Sola,Agder og Rogaland,4344,4564
1412,Solund,Vestlandet,112,98
1812,Sømna,Nord-Norge,260,314
536,Søndre Land,Hedmark og Oppland,691,783
1017,Songdalen,Agder og Rogaland,1099,1145
540,Sør-Aurdal,Hedmark og Oppland,354,422
1845,Sørfold,Nord-Norge,256,264
519,Sør-Fron,Hedmark og Oppland,409,463
419,Sør-Odal,Hedmark og Oppland,999,1059
1925,Sørreisa,Nord-Norge,527,535
1870,Sortland - Suortá,Nord-Norge,1544,1751
226,Sørum,Akershus og Oslo,2916,3032
2030,Sør-Varanger,Nord-Norge,1470,1480
123,Spydeberg,Østlandet ellers,834,946
417,Stange,Hedmark og Oppland,2868,3131
1103,Stavanger,Agder og Rogaland,20704,21295
1848,Steigen,Nord-Norge,322,324
5004,Steinkjer,Trøndelag,3159,3437
5035,Stjørdal,Trøndelag,3689,3999
1221,Stord,Vestlandet,2998,3164
1526,Stordal,Vestlandet,143,135
430,Stor-Elvdal,Hedmark og Oppland,286,265
1939,Storfjord - Omasvuotna - Omasvuono,Nord-Norge,239,261
1130,Strand,Agder og Rogaland,2128,2225
1525,Stranda,Vestlandet,605,623
1449,Stryn,Vestlandet,1128,1136
1531,Sula,Vestlandet,1452,1634
1134,Suldal,Agder og Rogaland,595,590
1245,Sund,Vestlandet,1086,1199
1563,Sunndal,Vestlandet,983,1048
1566,Surnadal,Vestlandet,840,868
1216,Sveio,Vestlandet,918,1005
711,Svelvik,Østlandet ellers,832,949
1528,Sykkylven,Vestlandet,1179,1156
1121,Time,Agder og Rogaland,3099,3322
1560,Tingvoll,Vestlandet,382,432
826,Tinn,Østlandet ellers,765,756
1852,Tjeldsund,Nord-Norge,137,158
