"","kommunenummer","navn","Y","expected","SMR","snuff","smoke","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",274,282.012503564348,0.97158812654376,0.201519371695462,0.172678032099443,1,1,0.971835355243732,0.85997019338634,1.08976603249562
"2",1101,"Eigersund",11,6.64852173537436,1.65450312683389,0.130546190155091,0.165407956844234,2,2,1.56479262103437,0.785612012589845,2.6106457224996
"3",1103,"Stavanger",80,60.0899117073951,1.33133828502788,0.1132,0.162512034826217,3,3,1.32647907606051,1.05133406166076,1.6303554827236
"4",1106,"Haugesund",28,16.4614542388127,1.70094328203287,0.169663253513934,0.150769975006046,4,4,1.67078193875404,1.10916135332931,2.33839948152017
"5",1108,"Sandnes",41,32.3479896966339,1.26746670765344,0.2382,0.288356221860097,5,5,1.26100649378314,0.905428632892965,1.67013468928296
"6",1111,"Sokndal",0,1.55878697576087,0,0.131738340399757,0.164142943670502,6,6,0.32161192528231,0.0196368455733062,1.27170797993703
"7",1112,"Lund",0,1.47200691149556,0,0.129785247432306,0.163087457205104,7,7,0.324374992216996,0.0200267749058742,1.28430498214287
"8",1114,"Bjerkreim",0,1.17688161245256,0,0.13216957605985,0.167438546490915,8,8,0.334077413753109,0.0190520799896169,1.37540595325885
"9",1119,"Hå",0,8.01940426544499,0,0.132847801818085,0.167348891605975,9,9,0.127977723860316,0.0137265839180951,0.411114494128958
"10",1120,"Klepp",7,8.13572236660766,0.8604030084324,0.137674418604651,0.170180878552971,10,10,0.84518958017719,0.357614877243731,1.55018141560099
"11",1121,"Time",0,7.9513981584565,0,0.140256560387502,0.170117634534518,11,11,0.129579252404446,0.0141160532869347,0.414365187584356
"12",1122,"Gjesdal",0,4.68165009791608,0,0.140477792732166,0.172274562584118,12,12,0.176026876816346,0.0161532548212615,0.600715622738966
"13",1124,"Sola",13,11.338600804884,1.14652594475329,0.168692380056444,0.136481655691439,13,13,1.13415102475005,0.612593430313429,1.81170111528907
"14",1127,"Randaberg",3,4.92624907129987,0.608982606559193,0.133447932687958,0.165023070659549,14,14,0.665427644048787,0.179472524248906,1.51299152837267
"15",1130,"Strand",7,5.75549464657029,1.21622908713351,0.135515857401432,0.165892814983867,15,15,1.16755500144612,0.487141615000468,2.1565686137775
"16",1133,"Hjelmeland",0,1.22156684584182,0,0.117295480014942,0.154650728427344,16,16,0.331421254926499,0.0190616390273781,1.35574132379473
"17",1134,"Suldal",0,1.79525764472862,0,0.124143384290985,0.156826568265682,17,17,0.25780264804571,0.0169421877191084,1.00671784179517
"18",1135,"Sauda",3,2.35739463435461,1.27259134142439,0.130737437459212,0.156623885142484,18,18,1.08872297196798,0.260961335317571,2.62051372230347
"19",1144,"Kvitsøy",0,0.286039135640538,0,0.164705882352941,0.115686274509803,19,19,0.507319326483361,0.0122999150662629,2.7020038281044
"20",1145,"Bokn",0,0.430957964426823,0,0.187574671445639,0.0955794504181601,20,20,0.472221100849252,0.0130763890640832,2.39424543467044
"21",1146,"Tysvær",0,4.87983581379071,0,0.137777777777777,0.167256235827664,21,21,0.176547929715422,0.0153680292631074,0.607758079880371
"22",1149,"Karmøy",29,18.9223956822171,1.53257549873844,0.169082240197357,0.145432549754489,22,22,1.51261570422277,1.01271321907505,2.10481317339861
