"","kommunenummer","navn","Y","expected","SMR","snuff","smoke","re_u","re_v","RR","LL","UL"
"1",301,"Oslo",8614,9171.49277272672,0.93921460916542,0.201519371695462,0.172678032099443,1,1,0.939263870174893,0.919508619603338,0.959207238955305
"2",1101,"Eigersund",232,219.540318004296,1.05675350254098,0.130546190155091,0.165407956844234,2,2,1.05795368204031,0.925893446987325,1.19787793997038
"3",1103,"Stavanger",1910,1961.49300481936,0.973748055846824,0.1132,0.162512034826217,3,3,0.973928420287065,0.930665497330907,1.01805979416091
"4",1106,"Haugesund",657,542.355124344904,1.21138341007393,0.169663253513934,0.150769975006046,4,4,1.21203665881829,1.12093422770118,1.30630587640614
"5",1108,"Sandnes",951,1051.93691156919,0.904046611104633,0.2382,0.288356221860097,5,5,0.90437213059708,0.847713282553523,0.962699408432002
"6",1111,"Sokndal",0,51.9030604901982,0,0.131738340399757,0.164142943670502,6,6,0.0161451045493037,0.000398892618322806,0.0725453827809381
"7",1112,"Lund",47,48.416536752847,0.970742708011562,0.129785247432306,0.163087457205104,7,7,0.976164735502523,0.717092310783993,1.27121624004177
"8",1114,"Bjerkreim",0,38.3729804007673,0,0.13216957605985,0.167438546490915,8,8,0.0211554021499513,0.000481641579853626,0.0966992270325935
"9",1119,"Hå",258,261.375561593464,0.987085397070466,0.132847801818085,0.167348891605975,9,9,0.988178820698586,0.870995060208871,1.11193390315384
"10",1120,"Klepp",261,264.80535147729,0.985629627739543,0.137674418604651,0.170180878552971,10,10,0.986742513766683,0.870383259477424,1.10958520795488
"11",1121,"Time",245,259.54697426506,0.943952441340331,0.140256560387502,0.170117634534518,11,11,0.945080038815325,0.830175617899795,1.06661894483804
"12",1122,"Gjesdal",128,151.272623162142,0.84615442850358,0.140477792732166,0.172274562584118,12,12,0.848112725973415,0.707286342161369,1.00037088029095
"13",1124,"Sola",309,369.994311447813,0.835147975088757,0.168692380056444,0.136481655691439,13,13,0.836012986645421,0.745179236531678,0.931473193983574
"14",1127,"Randaberg",156,161.300702431325,0.967137759777695,0.133447932687958,0.165023070659549,14,14,0.969104985696779,0.822653847282348,1.12617794311604
"15",1130,"Strand",202,188.594992843099,1.0710782770784,0.135515857401432,0.165892814983867,15,15,1.07252623881809,0.929400486177381,1.22482303986043
"16",1133,"Hjelmeland",0,40.4841564689174,0,0.117295480014942,0.154650728427344,16,16,0.0201273918318586,0.000466278197559174,0.0916736731575034
"17",1134,"Suldal",78,59.1585402696199,1.31849095066424,0.124143384290985,0.156826568265682,17,17,1.32248974903641,1.04487026861763,1.62939061125098
"18",1135,"Sauda",102,78.5616106851099,1.29834405265487,0.130737437459212,0.156623885142484,18,18,1.30148833930367,1.06064824600542,1.56421793437085
"19",1144,"Kvitsøy",0,9.4823948224957,0,0.164705882352941,0.115686274509803,19,19,0.060607105846646,0.000427387084171483,0.340108231279361
"20",1145,"Bokn",0,14.4408639756037,0,0.187574671445639,0.0955794504181601,20,20,0.042406827434561,0.000383542250494521,0.228667201440472
"21",1146,"Tysvær",190,159.150565957079,1.19383804171479,0.137777777777777,0.167256235827664,21,21,1.19591500519019,1.03154500632724,1.37113056381198
"22",1149,"Karmøy",749,621.463252194112,1.20522009524395,0.169082240197357,0.145432549754489,22,22,1.20579461797495,1.12081750006562,1.29355699107092
"23",1151,"Utsira",0,3.4084309916528,0,0.142857142857142,0.21938775510204,23,23,0.145477310296749,0.000522387069327953,0.899104626982393
"24",1160,"Vindafjord",163,132.950401865298,1.22602111549198,0.129907290832093,0.164129563923543,24,24,1.22816426675278,1.04641725115898,1.4228223446059
"25",1505,"Kristiansund",383,367.556068180112,1.0420178937498,0.167959722680752,0.158715747771541,25,25,1.04262607933815,0.940602107043018,1.14937614133596
"26",1506,"Molde",529,495.913666093271,1.0667179313032,0.2019,0.161682968582682,26,26,1.06712592450768,0.977916004085901,1.15978938643054
"27",1507,"Ålesund",1015,977.64696639681,1.03820707769478,0.195250697784707,0.15000742584728,27,27,1.03848982990967,0.975474337107582,1.10329623506461
"28",1511,"Vanylven",75,56.8498087242706,1.31926565248021,0.208293763849319,0.167458056346945,28,28,1.32322979935072,1.04024460679347,1.63668061862958
"29",1514,"Sande",0,41.7030152765189,0,0.190591073582629,0.159227985524728,29,29,0.0167291426417942,0.000254405740922106,0.08234902001374
"30",1515,"Herøy",176,140.727369400158,1.25064513569883,0.224540152534768,0.158479138627187,30,30,1.25227408905924,1.07364816886352,1.44313532124329
"31",1516,"Ulstein",110,124.351285172828,0.884590777225324,0.233740546829552,0.161721931355439,31,31,0.88618220324797,0.727935793192941,1.05827789814647
"32",1517,"Hareid",87,77.4914384131115,1.12270467269168,0.232056020229527,0.159113013032483,32,32,1.12489199051838,0.900462504161172,1.37156184210742
"33",1520,"Ørsta",200,169.88170369645,1.17728981784505,0.243843954625103,0.160287743244489,33,33,1.17871184586866,1.02064605527016,1.34695554278852
"34",1525,"Stranda",74,78.8072298266504,0.939000142027264,0.203114718139942,0.147400745777582,34,34,0.942177895031016,0.739453093603527,1.16687801008673
"35",1528,"Sykkylven",122,116.892517450089,1.04369383653742,0.23004449097095,0.159774928029311,35,35,1.04582893596649,0.868101372654849,1.23833696360313
"36",1531,"Sula",137,134.951640623716,1.01517846961191,0.246619794483504,0.154570037858301,36,36,1.01676803612847,0.853256691886552,1.19304595091773
"37",1532,"Giske",132,122.598162070037,1.07668824533105,0.246742378959952,0.153257621040047,37,37,1.07837551573257,0.901865510904071,1.2689761531242
"38",1535,"Vestnes",114,102.094046302692,1.11661751226912,0.226597211582656,0.16286195802053,38,38,1.11882243303755,0.922414723118906,1.33212162694194
"39",1539,"Rauma",0,123.408724332409,0,0.228288505285695,0.162317676970426,39,39,0.007232113422266,0.000224252062455306,0.0309696322817849
"40",1547,"Aukra",0,56.5782864234099,0,0.225531914893617,0.158581560283687,40,40,0.0138723176828428,0.000285655230380293,0.064597906848817
"41",1554,"Averøy",0,90.123259735627,0,0.224905789653991,0.163583418979102,41,41,0.00889920782164928,0.000200020171918773,0.0406506339102232
"42",1557,"Gjemnes",0,40.9827835772867,0,0.227670087419232,0.162675788673508,42,42,0.018344161624835,0.000328831896448507,0.0877674104108128
"43",1560,"Tingvoll",0,53.5927061779314,0,0.214120752226987,0.169910920488287,43,43,0.0144442752176535,0.000273535831078681,0.0682012648042166
"44",1563,"Sunndal",130,114.947931722236,1.13094683873161,0.230345800988002,0.172618207480592,44,44,1.13250458261358,0.945774630871016,1.33428150361917
"45",1566,"Surnadal",0,98.7716211243644,0,0.230210970464135,0.165569620253164,45,45,0.00865246871986783,0.00024032272067077,0.0379515885607889
"46",1573,"Smøla",0,36.8807810292105,0,0.208646616541353,0.164943609022556,46,46,0.0193154639126913,0.000298670745159967,0.0948671125134289
