kommunenummer,kommunenavn,Basic school level,"Higher education, long","Higher education, short",Tertiary vocational education,Upper secondary education,No education or unknown
1832,Hemnes,1291,97,651,105,1561,796
618,Hemsedal,452,138,487,51,881,472
1515,Herøy (Møre og Romsdal),2129,252,1360,417,3067,1702
1818,Herøy (Nordland),552,32,232,50,577,337
5013,Hitra,1217,197,645,116,1762,757
827,Hjartdal,362,44,222,41,631,272
1133,Hjelmeland,548,128,397,56,958,597
138,Hobøl,1348,318,924,96,1909,1047
620,Hol,982,211,777,95,1703,705
612,Hole,1175,651,1442,133,2024,1420
715,Holmestrand,3202,771,2586,392,4898,2522
5026,Holtålen,408,39,317,49,867,345
1444,Hornindal,221,37,200,32,475,187
701,Horten,5505,1678,5691,767,8860,4833
1416,Høyanger,858,158,615,87,1648,725
5046,Høylandet,262,35,223,17,464,253
239,Hurdal,788,117,398,44,976,541
628,Hurum,2244,510,1697,266,3216,1588
111,Hvaler,969,292,912,138,1686,602
1413,Hyllestad,284,32,196,43,589,222
1917,Ibestad,421,31,193,39,515,176
5053,Inderøy,1280,347,1320,170,2411,1276
5054,Indre Fosen,2354,323,1440,244,3806,1821
935,Iveland,295,19,148,42,512,310
532,Jevnaker,1702,250,1103,172,2377,1242
1431,Jølster,551,139,535,75,1101,646
1227,Jondal,174,35,193,43,460,182
2021,Kárásjohka - Karasjok,742,127,585,56,700,463
1936,Karlsøy,851,65,258,90,655,333
1149,Karmøy,9221,1295,6633,1373,14853,8786
5030,Klæbu,1291,282,951,129,2091,1332
1120,Klepp,4229,876,2796,457,6724,4272
604,Kongsberg,4950,2571,6062,822,8168,4908
402,Kongsvinger,5044,754,2827,399,5970,2829
815,Kragerø,2499,411,1841,311,3686,1658
1001,Kristiansand,16840,7754,20545,2329,27545,17269
1505,Kristiansund,5506,1166,4299,895,8147,4261
622,Krødsherad,559,88,329,51,787,425
1911,Kvæfjord,700,101,519,64,956,518
1943,Kvænangen,365,36,161,29,422,189
2017,Kvalsund,332,32,129,26,321,148
1238,Kvam,1553,383,1454,271,3174,1606
1037,Kvinesdal,1419,159,789,190,2237,1254
1224,Kvinnherad,2782,412,2145,349,4951,2498
829,Kviteseid,546,124,432,54,892,355
1144,Kvitsøy,129,23,73,13,196,82
1422,Lærdal,490,125,378,41,745,372
712,Larvik,10658,2294,8467,1212,16155,8321
2022,Lebesby,437,41,194,40,390,226
1419,Leikanger,365,273,540,46,680,427
1822,Leirfjord,609,86,340,62,733,490
5052,Leka,165,13,76,16,208,89
1931,Lenvik,3242,397,1805,306,3659,2270
512,Lesja,382,74,312,32,825,384
5037,Levanger,3574,1266,4445,429,6470,4070
626,Lier,5214,2217,5475,643,7695,5129
5042,Lierne,295,31,213,38,570,239
501,Lillehammer,4943,2625,7063,590,8281,4521
926,Lillesand,2061,743,2211,326,3436,2213
1263,Lindås,3356,599,2498,420,5726,3213
1029,Lindesnes,1120,160,696,105,1848,1024
1920,Loabák - Lavangen,305,26,153,27,331,200
1851,Lødingen,560,68,327,87,712,323
514,Lom,476,72,365,36,949,395
2014,Loppa,367,24,125,21,253,127
230,Lørenskog,8735,3278,8399,883,11667,7144
415,Løten,2132,254,1170,179,2583,1345
1112,Lund,736,73,422,78,1201,703
533,Lunner,2202,420,1468,214,3054,1693
1834,Lurøy,558,61,274,48,641,322
1426,Luster,978,216,974,131,1877,1019
1032,Lyngdal,1927,238,1317,215,2965,1947
1938,Lyngen,932,84,396,77,914,444
1924,Målselv,1467,305,1163,226,2352,1292
5031,Malvik,2452,1229,2771,304,4302,2982
1002,Mandal,2988,741,3049,464,5429,2988
119,Marker,1112,111,480,69,1273,547
1021,Marnardal,477,50,331,49,900,490
1266,Masfjorden,387,52,214,52,663,343
2018,Måsøy,440,46,145,39,388,177
1256,Meland,1587,379,1445,247,2620,1909
5023,Meldal,939,90,513,86,1598,679
5028,Melhus,3549,669,2583,367,6104,3290
1837,Meløy,1678,165,836,153,2316,1183
5034,Meråker,603,61,367,50,943,408
1545,Midsund,494,56,271,61,725,412
5027,Midtre Gauldal,1332,179,802,142,2655,1136
1252,Modalen,65,14,66,6,146,83
623,Modum,3803,521,2081,349,4788,2438
1502,Molde,4912,2231,6173,592,8149,4944
1874,Moskenes,409,43,118,25,297,147
104,Moss,7759,2405,6092,723,9969,5778
5051,Nærøy,1378,154,672,158,1783,927
5040,Namdalseid,362,40,224,30,631,289
5005,Namsos,2811,613,2505,297,4368,2519
5044,Namsskogan,259,13,96,25,325,153
238,Nannestad,3528,590,2053,261,4654,2596
1805,Narvik,3772,1131,3592,521,6255,3359
1433,Naustdal,548,101,443,80,1050,571
625,Nedre Eiker,6506,1031,4073,661,7848,4844
236,Nes (Akershus),5778,832,3219,448,7656,3952
616,Nes (Buskerud),844,133,517,81,1237,503
1828,Nesna,443,114,317,37,538,343
216,Nesodden,3054,2633,4633,396,4701,4071
1543,Nesset,750,69,365,78,1186,508
830,Nissedal,329,44,256,34,496,317
233,Nittedal,4756,2055,4876,571,6667,5164
819,Nome,1567,209,1088,182,2390,1102
542,Nord-Aurdal,1497,241,1066,169,2411,1034
1524,Norddal,361,66,261,42,609,306
516,Nord-Fron,1533,150,864,131,2133,931
2019,Nordkapp,1040,134,483,128,927,506
418,Nord-Odal,1685,124,634,87,1758,736
538,Nordre Land,1984,160,901,140,2355,1131
1942,Nordreisa - Ráisa - Raisi,1287,165,828,156,1538,935
633,Nore og Uvdal,619,86,323,69,977,374
807,Notodden,3048,541,2238,285,4293,2277
1228,Odda,1346,246,1095,152,2805,1101
1868,Øksnes,1508,127,538,133,1377,766
5021,Oppdal,1602,297,1165,116,2542,1253
217,Oppegård,4197,3196,6659,676,7181,5485
5024,Orkdal,2789,434,1851,311,4434,2267
5015,Ørland,1251,188,874,178,1947,896
1523,Ørskog,451,113,468,74,739,405
1520,Ørsta,2341,386,1987,339,3720,2084
441,Os (Hedmark),395,69,366,44,759,279
1243,Os (Hordaland),4065,1152,3878,628,6507,4574
5020,Osen,281,15,134,23,357,137
301,Oslo municipality,113506,121534,174295,12517,142607,116612
1253,Osterøy,1906,265,1114,200,2979,1656
528,Østre Toten,3761,600,2457,356,5302,2472
5047,Overhalla,739,123,676,98,1423,820
624,Øvre Eiker,4676,846,3190,541,6391,3473
521,Øyer,1162,231,892,96,1884,854
1259,Øygarden,1320,112,609,127,1637,1084
544,Øystre Slidre,644,130,544,65,1309,516
2020,Porsanger - Porsángu - Porsanki,1019,152,719,136,1340,578
805,Porsgrunn,8165,2133,6689,1052,11926,6259
5043,Raarvihke - Røyrvik,127,14,70,7,164,100
135,Råde,1792,339,1263,169,2606,1373
1260,Radøy,1205,133,670,116,1963,1004
228,Rælingen,3883,1280,3500,403,5410,3685
128,Rakkestad,2298,213,1084,167,3006,1462
1833,Rana,6383,1079,4639,583,8945,4686
1127,Randaberg,2168,710,2025,334,3484,2332
1539,Rauma,1755,230,1212,158,2741,1391
716,Re,2061,347,1626,245,3519,1932
432,Rendalen,462,51,262,54,710,252
5022,Rennebu,622,58,323,54,1010,434
1142,Rennesøy,885,269,721,189,1643,1140
5061,Rindal,421,51,308,53,833,362
520,Ringebu,1146,138,640,95,1684,722
605,Ringerike,7478,1567,5364,642,10327,5064
412,Ringsaker,8941,1406,5651,769,11719,6002
901,Risør,1589,313,1209,210,2425,1102
5019,Roan,283,24,117,15,347,171
1836,Rødøy,371,17,156,48,399,247
632,Rollag,318,54,217,39,557,234
121,Rømskog,190,19,101,12,249,102
5025,Røros,1031,285,1081,116,2212,885
1856,Røst,222,12,55,9,135,75
627,Røyken,4195,1721,4556,669,6715,4779
136,Rygge,3758,855,2969,400,5350,2813
1923,Salangen,542,95,386,54,750,356
1840,Saltdal,1117,144,760,113,1711,812
1242,Samnanger,525,83,399,69,941,448
1514,Sande (Møre og Romsdal),676,72,350,88,890,417
713,Sande (Vestfold),2071,445,1723,291,3452,1922
710,Sandefjord,14211,3332,11576,1737,20842,11573
1102,Sandnes,15198,6483,14350,1855,22710,16650
1546,Sandøy,278,33,167,52,480,228
105,Sarpsborg,14816,2011,9463,1228,18465,10014
1135,Sauda,925,156,709,139,1812,856
822,Sauherad,971,208,754,91,1515,754
517,Sel,1475,171,816,128,2264,935
5032,Selbu,859,137,616,97,1627,752
1441,Selje,735,65,400,87,1010,450
828,Seljord,607,137,486,67,1082,555
621,Sigdal,928,93,410,79,1371,609
811,Siljan,522,76,386,59,883,403
1046,Sirdal,347,74,303,60,674,381
1913,Skånland,765,107,530,84,1014,509
5029,Skaun,1507,417,1402,210,2774,1921
231,Skedsmo,12364,4229,10793,1263,16566,10437
213,Ski,5884,2620,6515,718,8791,6315
806,Skien,12784,2979,10094,1352,17672,9764
127,Skiptvet,1057,84,486,79,1363,728
513,Skjåk,492,77,325,61,938,311
1941,Skjervøy,918,77,387,88,917,530
1529,Skodje,958,176,868,161,1530,1071
1573,Smøla,573,45,301,85,808,322
5041,Snåase - Snåsa,402,89,367,31,808,403
5012,Snillfjord,256,18,128,15,413,169
1420,Sogndal,1319,734,1915,174,2532,1517
1018,Søgne,2176,595,2097,324,3916,2295
1111,Sokndal,743,76,399,81,1295,711
1124,Sola,4537,2728,5070,720,7864,5663
1412,Solund,199,32,123,41,280,145
1812,Sømna,517,52,309,42,713,381
536,Søndre Land,1599,177,823,110,1987,927
1017,Songdalen,1606,200,913,144,2388,1455
540,Sør-Aurdal,808,88,402,53,1136,494
1845,Sørfold,610,34,257,38,685,351
519,Sør-Fron,824,95,420,65,1172,551
419,Sør-Odal,2368,275,1094,171,2725,1246
1925,Sørreisa,853,110,589,100,1213,624
1870,Sortland - Suortá,2748,462,1766,303,3280,1959
226,Sørum,3838,1081,3363,424,5624,3933
2030,Sør-Varanger,2434,621,1913,275,3230,1683
123,Spydeberg,1526,278,931,136,2085,1086
417,Stange,5046,1148,3922,528,6560,3712
1103,Stavanger,22947,18147,29582,3452,34249,25660
1848,Steigen,689,101,395,68,925,398
5004,Steinkjer,4615,1057,4164,472,7743,4039
5035,Stjørdal,4932,1214,4247,583,8348,4704
1221,Stord,3399,1035,3625,528,6283,3829
1526,Stordal,239,31,136,21,367,153
430,Stor-Elvdal,671,126,372,35,887,368
1939,Storfjord - Omasvuotna - Omasvuono,536,52,295,58,600,300
1130,Strand,2864,525,1936,303,4289,2803
1525,Stranda,1032,182,697,101,1786,767
1449,Stryn,1386,260,1215,186,2683,1437
1531,Sula,1916,291,1764,331,2882,2087
1134,Suldal,727,141,607,95,1454,770
1245,Sund,1608,194,955,231,2505,1569
1563,Sunndal,1468,306,1154,153,2828,1197
1566,Surnadal,1361,203,904,154,2323,983
1216,Sveio,1173,212,915,193,1972,1256
711,Svelvik,1718,213,1076,208,2299,1171
1528,Sykkylven,1875,252,1304,226,2533,1467
1121,Time,3651,1106,3383,472,6066,4117
1560,Tingvoll,637,145,482,69,1175,537
826,Tinn,1351,176,852,121,2332,948
1852,Tjeldsund,329,32,172,38,495,193
833,Tokke,448,73,381,56,873,397
436,Tolga,246,86,310,27,600,282
704,Tønsberg,8680,3650,10749,1217,13767,7913
1928,Torsken,329,17,97,16,305,167
1835,Træna,131,14,65,13,145,88
1927,Tranøy,390,42,238,31,530,282
122,Trøgstad,1532,148,703,92,1932,940
1902,Tromsø,14257,10211,16590,1739,19892,13960
5001,Trondheim,33046,27448,45945,3702,52547,33471
428,Trysil,1839,229,979,123,2399,1038
914,Tvedestrand,1338,236,1072,206,2162,1055
5033,Tydal,189,16,115,16,332,126
437,Tynset,1043,304,1037,115,2066,1026
1223,Tysnes,604,87,459,124,1076,496
1146,Tysvær,2138,391,1779,329,3876,2515
235,Ullensaker,9280,2116,6584,840,12081,7333
1231,Ullensvang,547,151,577,81,1386,578
1516,Ulstein,1546,467,1782,367,2674,1773
1233,Ulvik,203,57,200,30,393,210
2027,Unjárga - Nesseby,264,47,149,26,305,150
1151,Utsira,48,8,37,8,63,32
2003,Vadsø,1437,403,1090,126,1776,1062
1857,Værøy,325,14,69,12,179,133
515,Vågå,868,127,491,110,1381,612
1865,Vågan,2405,415,1694,264,3105,1712
1439,Vågsøy,1306,207,951,214,2117,1175
1251,Vaksdal,1007,119,580,96,1444,799
426,Våler (Hedmark),1151,79,525,68,1340,542
137,Våler (Østfold),1221,222,886,148,1967,1149
940,Valle,224,51,199,27,477,178
545,Vang,307,86,272,26,614,305
1511,Vanylven,779,72,448,127,1262,475
2002,Vardø,617,116,269,91,688,300
1824,Vefsn,3213,507,2179,282,4870,2352
1815,Vega,379,42,171,31,398,211
912,Vegårshei,423,71,352,51,776,420
1014,Vennesla,3551,392,2018,338,5319,3012
5038,Verdal,3379,478,2377,391,5602,2706
5039,Verran,673,43,310,52,918,453
211,Vestby,3515,1350,3462,402,5391,3704
1535,Vestnes,1589,219,939,204,2396,1189
543,Vestre Slidre,486,83,327,49,828,362
529,Vestre Toten,3594,439,2030,413,4722,2186
1860,Vestvågøy,3038,442,1871,312,3545,2272
1816,Vevelstad,129,10,63,12,181,102
1417,Vik,510,119,411,70,1055,507
5050,Vikna,1265,123,624,181,1481,904
1160,Vindafjord,1742,296,1362,226,3330,1787
834,Vinje,774,170,684,70,1339,686
1519,Volda,1573,715,2317,249,2641,1702
1235,Voss,2739,825,2793,346,5250,2653
