,kommunenummer,RR,LL,UL
190,3802,1.220557156,1.08959947,1.359905091
191,3803,1.329478502,1.194817618,1.473112989
192,3804,1.418001646,1.238186255,1.615058565
193,3805,1.455348342,1.269369599,1.656883519
194,3806,1.84542505,1.132358129,2.730742168
195,3807,1.338283215,1.192510545,1.493636771
196,3808,0.767090276,0.659312132,0.883671367
197,3811,1.343368473,1.185902294,1.515703556
198,3812,1.180893893,7.39E-12,6.138831518
199,3813,0.680214134,0.575025131,0.796251387
200,3814,0.89351962,0.74416208,1.060089607
201,3815,0.890507857,0.739507264,1.058717783
202,3816,0.847684974,0.723247377,0.982691083
203,3817,0.812898767,0.668327512,0.975695681
204,3818,0.80550371,0.678770327,0.944668267
205,3819,1.502794908,9.43E-12,7.81461543
206,3820,1.420997442,8.92E-12,7.389354648
207,3821,1.5143987,9.50E-12,7.874954258
208,3822,1.388720086,8.71E-12,7.221173003
209,3823,1.365240087,8.56E-12,7.099284737
210,3824,1.317341619,8.26E-12,6.850012539
211,3825,1.301437113,8.16E-12,6.767160953
212,4201,0.87007121,0.727160612,1.029366547
213,4202,1.302048729,1.177762259,1.437272875
214,4203,1.525187063,1.071287707,2.077743423
215,4204,1.349377216,0.932922335,1.83569164
216,4205,1.381515149,1.192521833,1.590941316
217,4206,0.73150404,0.594748197,0.885099413
218,4207,0.742949962,0.642809557,0.851656838
219,4211,1.438016126,9.02E-12,7.478004446
220,4212,1.36312004,8.55E-12,7.088454027
221,4213,0.808248522,0.695831293,0.930739517
222,4214,0.696907416,0.600494572,0.801557398
223,4215,0.657826476,0.497012361,0.84409118
224,4216,0.701137088,0.60613144,0.80450754
225,4217,1.32163227,8.29E-12,6.872639303
226,4218,1.206490187,7.56E-12,6.272764221
227,4219,1.256082363,7.87E-12,6.530874238
228,4220,1.316450626,8.25E-12,6.845208424
229,4221,1.437811354,9.02E-12,7.47681934
230,4222,1.163361072,7.29E-12,6.048511551
231,4223,0.712241831,0.617059225,0.816535303
232,4224,1.619965052,1.02E-11,8.423698403
233,4225,0.681298478,0.581808331,0.79079767
234,4226,1.255229819,7.87E-12,6.52651168
235,4227,1.396616861,0.899234102,2.025376676
236,4228,1.256197489,7.87E-12,6.531565348
237,4601,1.145684459,1.032170876,1.264561881
238,4602,0.747604079,0.634290473,0.869019908
239,4611,0.762431797,0.636536169,0.901498747
240,4612,0.649055835,0.539413961,0.770032941
241,4613,0.670780292,0.569193155,0.78098329
242,4614,0.62723114,0.526183572,0.737286856
243,4615,1.123578923,7.03E-12,5.841255763
244,4616,1.475829671,9.26E-12,7.674366991
245,4617,0.328077943,0.115766259,0.669561706
246,4618,1.279451189,0.707101776,2.055810388
247,4619,1.305249304,8.18E-12,6.786616918
248,4620,1.154846173,7.24E-12,6.004751159
249,4621,0.69091764,0.583766998,0.807730983
250,4622,0.524560147,0.22731242,0.980475445
251,4623,1.178173218,7.38E-12,6.125234571
252,4624,1.167815833,1.022238929,1.322098336
253,4625,0.635950554,0.523176274,0.762413444
254,4626,1.178623992,1.044105485,1.325095711
255,4627,1.086194346,0.941941503,1.244970333
256,4628,0.683995124,0.582733693,0.793163021
257,4629,0.926700255,5.79E-12,4.815586178
258,4630,0.669726032,0.566647454,0.779155441
259,4631,1.139450663,0.911150379,1.383253011
260,4632,1.18031919,7.39E-12,6.135370189
261,4633,1.273910798,7.98E-12,6.623450723
262,4634,1.359069431,8.52E-12,7.066125067
263,4635,1.479546586,9.28E-12,7.693115209
264,4636,1.632496349,1.02E-11,8.487438337
265,4637,1.538745512,9.65E-12,8.000710581
266,4638,0.562600442,0.438821438,0.699190959
267,4639,1.464264642,9.18E-12,7.613674812
268,4640,0.641749383,0.530668913,0.76362797
269,4641,1.17416487,7.36E-12,6.10504977
270,4642,1.194458555,7.48E-12,6.209551124
271,4643,0.217991543,0.050106906,0.556382151
272,4644,0.744499897,0.639635406,0.854972089
273,4645,1.529436416,9.59E-12,7.952069757
274,4646,2.058939772,1.28E-11,10.69643608
275,4647,1.18519072,1.078094432,1.289136941
276,4648,1.516416306,9.50E-12,7.883558658
277,4649,0.6879241,0.592241064,0.787104796
278,4650,0.763490577,0.644011431,0.89133016
279,4651,0.674302757,0.56492094,0.793186728
280,5001,1.061610507,0.924557716,1.206466673
281,5006,1.397166527,1.155099705,1.665796909
282,5007,0.906091692,0.757784727,1.068944106
283,5014,0.794915335,0.645615423,0.964523365
284,5020,1.56105138,9.79E-12,8.116950711
285,5021,0.804192153,0.689542734,0.925033127
286,5022,1.493311181,9.37E-12,7.764500303
287,5025,0.728910063,0.628169092,0.834122363
288,5026,1.284320242,8.05E-12,6.677456177
289,5027,0.731096659,0.620695496,0.849343451
290,5028,0.675448574,0.568217466,0.790790069
291,5029,0.640855283,0.526611019,0.765946927
292,5031,0.604459842,0.494485698,0.726080049
293,5032,0.761487309,0.645995551,0.885138252
294,5033,1.404565957,8.81E-12,7.302961605
295,5034,1.381508123,8.67E-12,7.183645668
296,5035,1.199894844,1.082812966,1.3177534
297,5036,1.602633404,1.00E-11,8.332764984
298,5037,1.324306732,1.172236403,1.481641466
299,5038,0.760963224,0.650514837,0.879361347
300,5041,1.42480224,8.94E-12,7.409033194
301,5042,1.324984987,8.31E-12,6.889996285
302,5043,1.237005686,7.76E-12,6.432002222
303,5044,1.250244512,7.84E-12,6.501223843
304,5045,1.533285161,9.62E-12,7.972796569
305,5046,1.211864707,7.60E-12,6.301378219
306,5047,0.649262091,0.553716488,0.752153373
307,5049,1.621163109,1.02E-11,8.428903398
308,5052,1.128521775,7.07E-12,5.86722486
309,5053,0.697852932,0.594641776,0.808259288
310,5054,0.80219465,0.679927407,0.934304855
311,5055,1.132990635,0.861986575,1.456804304
312,5056,0.796107176,0.675163306,0.92321385
313,5057,0.790376402,0.674469223,0.915467198
314,5058,0.841105798,0.707067328,0.987491568
315,5059,1.249986612,0.886943999,1.721566543
316,5060,0.695776834,0.599620407,0.798338474
317,5061,1.253315149,7.85E-12,6.51582496
318,5401,1.128204815,0.982168679,1.319809075
319,5402,1.167634244,1.02797046,1.353356108
320,5403,1.086930156,0.961045934,1.308115268
321,5404,2.010603463,1.28E-11,10.61073916
322,5405,0.724549718,0.613202291,0.883062149
323,5406,0.646922261,0.534683232,0.800579458
324,5411,1.234230111,7.74E-12,6.417594072
325,5412,0.749733532,0.630815781,0.891717636
326,5413,1.733339906,1.09E-11,9.011596605
327,5414,1.391039571,8.72E-12,7.232793686
328,5415,1.142220629,7.15E-12,5.938520127
329,5416,0.634749486,0.527998292,0.7634479
330,5417,1.601753947,1.00E-11,8.328773483
331,5418,0.714931288,0.599000601,0.856194744
332,5419,1.155810566,7.23E-12,6.008442325
333,5420,1.597731465,1.00E-11,8.307468526
334,5421,1.128081879,0.806409028,1.543667207
335,5422,0.874550607,0.714988915,1.069021269
336,5423,1.519931177,9.53E-12,7.903100703
337,5424,1.426300307,8.94E-12,7.415630569
338,5425,1.356026577,8.50E-12,7.050997945
339,5426,1.455340079,9.24E-12,7.675730387
340,5427,1.197653581,7.63E-12,6.318569161
341,5428,0.734115161,0.62171406,0.886457011
342,5429,1.43891183,9.16E-12,7.590793819
343,5430,1.126844742,7.17E-12,5.946767684
344,5432,1.886248057,1.20E-11,9.952835959
345,5433,1.394756053,8.89E-12,7.363139626
346,5434,1.850424132,1.18E-11,9.765508253
347,5435,1.404774232,8.96E-12,7.416165795
348,5436,0.712540617,0.592932921,0.87494363
349,5437,1.172515141,7.47E-12,6.18961638
350,5438,1.789128102,1.14E-11,9.442414065
351,5439,1.8570614,1.18E-11,9.801349037
352,5440,1.692094128,1.08E-11,8.931918299
353,5441,1.198824332,7.64E-12,6.328687128
354,5442,1.373079323,8.74E-12,7.247847125
355,5443,1.413086906,9.01E-12,7.459832199
356,5444,0.627926299,0.516421072,0.78880126
