,kommunenummer,F0-24,M0-24,F25-45,F45-67,F67-79,F79-105,M25-45,M45-67,M67-79,M79-105
116,1919,136,148,90,166,77,56,119,190,80,43
117,904,3724,3959,2962,3065,1213,576,3083,3149,1108,407
118,5045,327,343,216,344,155,121,249,374,150,95
119,423,497,517,388,800,415,239,449,801,395,144
120,1411,337,356,241,324,147,99,226,365,163,64
121,2011,406,466,360,389,157,83,394,464,158,47
122,1119,3251,3427,2490,2216,783,393,2685,2491,760,318
123,1866,1087,1211,870,1179,543,288,930,1240,544,199
124,1034,272,283,193,205,85,62,225,233,92,33
125,101,4254,4674,3705,4499,1980,1021,3872,4659,1841,672
126,1571,180,206,147,237,121,77,165,249,145,47
127,403,4151,4549,3727,4591,2113,1216,3832,4362,1865,738
128,1849,193,233,169,260,150,73,194,268,154,53
129,2004,1578,1636,1419,1459,509,246,1546,1477,506,160
130,1534,1371,1456,1071,1245,506,344,1174,1443,525,248
131,1517,761,854,636,683,266,177,693,718,261,106
132,1903,3493,3732,3058,3546,1526,779,3159,3562,1447,525
133,2015,121,139,111,157,56,38,162,168,63,30
134,1826,163,202,115,202,112,59,130,213,112,51
135,1106,5323,5849,4879,5099,1874,1079,5364,5397,1797,589
136,5011,592,683,449,590,285,147,446,632,287,117
137,1832,577,691,461,618,323,200,519,677,304,131
138,618,346,397,346,307,116,73,381,358,102,55
139,1515,1268,1382,1008,1271,481,322,1090,1362,532,211
140,1818,237,255,185,248,120,62,226,293,126,28
141,5013,592,673,593,614,292,147,654,701,314,114
142,827,225,222,145,223,108,76,148,264,116,45
143,1133,434,429,289,335,170,86,310,392,166,73
144,138,771,845,773,775,267,126,853,869,273,90
145,620,526,577,538,688,303,163,579,683,303,113
146,612,951,1025,850,1016,345,194,831,1120,385,128
147,715,1836,2113,1774,2131,951,410,1794,2212,870,279
148,5026,287,246,208,286,158,77,204,331,162,66
149,1444,166,193,116,150,65,49,134,174,67,38
150,701,3770,4160,3121,4132,1750,897,3324,4038,1525,617
151,1416,585,614,375,609,257,175,398,707,249,122
152,5046,192,193,124,156,89,59,126,175,98,42
153,239,364,429,322,458,176,113,308,435,185,74
154,628,1256,1346,1015,1535,681,269,975,1612,643,189
155,111,491,566,417,827,389,131,424,811,437,106
156,1413,189,186,106,188,108,60,144,228,115,42
157,1917,133,192,103,204,118,95,129,225,131,45
158,5053,1036,1072,690,996,440,215,754,990,457,154
159,5054,1392,1542,1038,1413,669,366,1073,1553,693,249
160,935,207,224,172,183,54,30,177,196,64,19
161,532,971,979,798,1056,444,209,834,1038,374,143
162,1431,460,548,329,413,158,102,347,441,163,86
163,1227,140,163,106,159,86,41,114,151,99,28
164,2021,383,410,282,422,137,84,323,434,148,50
165,1936,237,268,214,337,177,104,250,394,192,79
166,1149,6559,7054,5264,5565,2232,1130,5414,6029,2102,812
167,5030,1032,1105,789,772,266,106,820,857,254,75
168,1120,3276,3477,2653,2329,810,358,2805,2556,814,276
169,604,3826,4144,3413,3872,1624,812,3686,3986,1512,606
170,402,2299,2397,1846,2886,1396,646,1982,2749,1205,417
171,815,1265,1397,1078,1645,805,407,1136,1635,780,258
172,1001,15032,15460,12211,12151,4423,2513,12763,12244,3901,1584
173,1505,3241,3585,2900,3554,1501,740,3204,3604,1484,461
174,622,282,298,266,333,142,82,282,367,143,44
175,1911,366,421,308,452,196,101,290,449,199,76
176,1943,142,153,114,167,93,62,128,199,102,42
177,2017,104,128,77,143,96,29,87,185,105,34
178,1238,1225,1326,879,1162,516,370,957,1243,530,233
179,1037,920,970,697,835,325,213,756,911,294,127
180,1224,1944,2063,1346,1868,815,518,1419,1943,839,382
181,829,280,308,235,394,153,103,267,440,155,68
182,1144,66,85,50,75,31,25,49,84,32,19
183,1422,271,326,209,321,143,86,238,344,159,54
184,712,6281,6873,5481,7175,2945,1649,5584,7198,2808,1113
185,2022,158,184,129,188,70,49,176,241,93,40
186,1419,346,393,265,327,149,77,250,321,145,58
187,1822,334,384,276,304,108,84,278,359,148,44
188,5052,73,59,43,91,53,28,54,95,50,21
189,1931,1760,1924,1304,1614,684,358,1386,1768,648,233
190,512,261,321,186,305,127,87,200,314,148,60
191,5037,3157,3267,2461,2827,1148,591,2472,2848,1060,423
192,626,3889,4166,3311,3761,1393,639,3444,3989,1329,450
193,5042,180,218,121,204,97,68,133,220,110,35
194,501,4032,4206,3378,4141,1745,1028,3426,3875,1551,639
195,926,1658,1807,1322,1573,618,289,1357,1556,605,205
196,1263,2513,2635,1894,2055,909,411,1966,2246,878,305
197,1029,728,833,569,659,311,142,612,705,304,90
198,1920,146,160,98,138,69,52,103,155,85,36
199,1851,254,253,161,347,173,103,186,369,162,69
200,514,289,325,226,350,146,91,250,388,158,70
201,2014,86,116,78,130,71,47,103,163,93,30
202,230,5873,6387,5407,5654,2032,880,5592,5760,1878,642
203,415,1006,1099,915,1136,498,236,948,1179,487,159
204,1112,527,549,336,452,172,107,370,465,158,77
205,533,1249,1350,1083,1388,507,240,1074,1496,522,142
206,1834,237,279,192,275,122,81,224,298,141,55
207,1426,776,837,547,739,299,189,585,760,301,162
208,1032,1432,1607,1038,1119,447,224,1060,1105,432,145
209,1938,373,387,245,403,228,139,284,450,249,89
210,1924,944,1145,750,906,384,231,884,997,383,181
211,5031,2241,2454,1796,1961,608,282,1780,2092,607,219
212,1002,2339,2547,1851,2234,928,516,1845,2264,840,295
213,119,417,487,352,549,279,157,394,586,268,103
214,1021,382,357,258,314,116,68,291,352,118,41
215,1266,249,262,162,236,112,86,172,268,111,53
216,2018,127,151,137,156,94,48,151,216,110,45
217,1256,1325,1512,1095,1023,368,165,1114,1106,365,113
218,5023,528,546,406,555,256,171,446,614,265,118
219,5028,2543,2783,2117,2159,864,478,2092,2380,846,300
220,1837,913,971,633,919,401,249,709,972,393,171
221,5034,291,340,267,368,159,103,261,385,195,63
222,1545,298,341,200,268,120,87,208,301,132,64
223,5027,872,920,742,877,352,240,788,927,380,148
224,1252,63,64,39,49,19,14,44,58,16,14
225,623,1819,2025,1672,2075,878,477,1755,2138,845,295
226,1502,3943,4105,3235,3825,1642,860,3511,3799,1489,592
227,1874,101,125,116,136,75,49,144,174,69,50
228,104,4429,4712,3913,4950,2191,1070,4080,4803,1890,688
229,5051,701,807,509,726,303,171,621,778,326,130
230,5040,209,231,143,232,99,76,162,250,118,56
231,5005,2019,2190,1500,1917,781,413,1464,1821,736,272
232,5044,111,129,71,128,66,48,74,148,62,34
233,238,2097,2199,1874,1837,590,249,2046,2055,568,167
234,1805,2577,2706,2193,2690,1040,720,2467,2745,1063,429
235,1433,406,486,309,361,153,91,327,409,172,79
236,625,3724,3983,3254,3529,1290,579,3358,3666,1186,394
237,236,3131,3295,2772,3284,1101,547,2903,3356,1149,347
238,616,387,423,336,534,251,142,359,544,240,99
239,1828,240,300,209,242,100,69,215,273,107,37
240,216,2948,3174,2432,3108,974,446,2201,2949,951,305
241,1543,400,420,284,430,188,138,318,503,185,90
242,830,197,208,162,222,96,51,158,245,102,35
243,233,3893,3970,3069,3472,1124,490,2982,3660,1073,356
244,819,856,948,680,995,437,253,714,1079,425,151
245,542,796,883,710,1000,455,248,738,978,446,164
246,1524,234,245,149,248,109,84,157,245,118,56
247,516,732,819,557,899,462,201,570,929,399,174
248,2019,407,450,332,473,194,100,395,573,232,62
249,418,605,645,486,797,373,204,506,878,382,148
250,538,903,901,668,1047,503,240,728,1084,423,174
251,1942,671,799,552,686,321,152,553,742,320,112
252,633,282,369,223,386,161,126,249,413,172,67
253,807,1722,1874,1453,1829,788,507,1521,1919,740,329
254,1228,838,941,716,994,420,361,784,1089,414,188
255,1868,607,619,470,657,276,168,542,745,255,110
256,5021,967,1067,725,1028,483,249,800,1059,430,167
257,217,4179,4392,3210,4095,1552,831,3122,4029,1400,583
258,5024,1708,1924,1456,1755,714,382,1468,1747,692,240
259,5015,735,811,614,778,306,193,684,792,284,137
260,1523,306,331,240,305,149,65,291,358,161,44
261,1520,1639,1682,1270,1447,609,410,1365,1576,594,265
262,441,241,271,172,302,134,76,205,308,142,61
263,1243,3380,3579,2848,2558,1025,453,2915,2730,997,319
264,5020,114,125,79,135,70,41,96,149,97,41
265,301,95423,95822,124508,79692,26773,15054,127908,83137,24286,8437
266,1253,1248,1349,984,1038,428,237,1055,1148,433,200
267,528,1951,2060,1633,2261,1023,532,1721,2455,928,384
268,5047,586,656,472,493,212,123,485,552,201,99
269,624,2696,2937,2452,2652,1008,553,2647,2761,1016,395
270,521,701,737,565,753,320,187,634,786,301,135
271,1259,771,826,568,654,232,133,628,706,276,95
272,544,386,467,369,471,238,104,403,479,221,70
273,2020,515,542,396,632,268,110,434,682,277,88
274,805,5139,5318,4293,5426,2186,1202,4478,5397,2060,724
275,5043,65,62,50,65,39,26,49,73,41,12
276,135,951,1152,861,1102,476,260,929,1171,444,196
277,1260,766,803,563,703,275,156,629,774,318,104
278,228,2750,2978,2615,2427,833,343,2650,2568,751,246
279,128,1166,1218,945,1203,495,271,1003,1254,498,177
280,1833,3714,4011,2984,3867,1504,943,3246,3994,1485,567
281,1127,1850,2005,1394,1472,497,253,1410,1536,443,193
282,1539,1005,1128,777,1066,477,316,881,1129,519,189
283,716,1431,1587,1264,1336,465,220,1337,1441,486,163
284,432,206,204,146,287,158,84,145,314,184,63
285,5022,336,370,221,378,206,88,229,393,195,85
286,1142,838,851,621,641,180,90,655,700,204,67
287,5061,289,309,205,267,142,100,220,290,141,65
288,520,574,567,463,662,343,175,489,692,322,138
289,605,3942,4290,3669,4622,1924,1025,3891,4550,1833,695
290,412,4712,5080,4026,5065,2125,1128,4305,5277,2006,762
291,901,864,959,686,1097,512,253,735,1059,531,152
292,5019,112,131,83,156,70,36,99,157,85,28
293,1836,206,190,112,166,84,46,106,213,83,32
294,632,186,198,122,215,105,67,155,227,93,51
295,121,79,89,63,105,45,35,77,104,43,33
