kommunenummer,kommunenavn,"Asia/Afrika, Latin-Amerika, Oseania utenom Australia og New",EU/EØS,Europeiske land utenom EU,Norge,Statsløse,unknown,"USA, Canada, Australia og New Zeland"
1534,Haram,269,940,95,8061,3,0,15
1517,Hareid,148,524,11,4458,5,0,9
1903,Harstad - Hárstták,845,825,109,23001,6,3,38
2015,Hasvik,37,202,0,806,0,0,0
1826,Hattfjelldal,41,54,0,1264,0,0,0
1106,Haugesund,1283,2799,334,32697,38,3,96
5011,Hemne,81,103,16,4025,3,0,0
1832,Hemnes,81,122,36,4258,0,0,4
618,Hemsedal,73,500,16,1878,0,0,14
1515,Herøy (Møre og Romsdal),170,779,53,7914,3,0,8
1818,Herøy (Nordland),115,184,11,1467,3,0,0
5013,Hitra,151,691,12,3830,3,0,7
827,Hjartdal,68,62,3,1439,0,0,0
1133,Hjelmeland,100,258,9,2306,7,0,4
138,Hobøl,107,668,38,4810,3,0,16
620,Hol,90,550,20,3797,0,0,16
612,Hole,132,595,30,6073,0,0,15
715,Holmestrand,299,1000,80,12959,3,0,30
5026,Holtålen,49,64,0,1912,0,0,0
1444,Hornindal,19,45,0,1085,0,0,3
701,Horten,857,1420,255,24687,32,0,83
1416,Høyanger,137,209,10,3732,3,0,0
5046,Høylandet,33,31,0,1190,0,0,0
239,Hurdal,54,169,5,2628,0,0,8
628,Hurum,254,821,60,8348,4,0,34
111,Hvaler,80,141,13,4358,4,0,3
1413,Hyllestad,59,100,10,1191,0,0,6
1917,Ibestad,34,87,2,1249,0,0,3
5053,Inderøy,172,157,18,6448,0,0,9
5054,Indre Fosen,275,412,18,9268,0,0,15
935,Iveland,71,78,0,1177,0,0,0
532,Jevnaker,181,369,35,6252,5,0,4
1431,Jølster,96,137,10,2801,0,0,3
1227,Jondal,31,37,4,1009,3,0,3
2021,Kárásjohka - Karasjok,35,118,9,2508,0,0,3
1936,Karlsøy,55,230,8,1959,0,0,0
1149,Karmøy,854,2089,130,38956,4,0,128
5030,Klæbu,144,346,6,5576,0,0,4
1120,Klepp,433,1609,114,17152,4,0,42
604,Kongsberg,901,1707,216,24531,9,3,114
402,Kongsvinger,439,759,90,16511,8,3,13
815,Kragerø,353,451,43,9526,11,0,22
1001,Kristiansand,3299,4126,628,83785,115,5,324
1505,Kristiansund,773,1353,111,21995,18,0,24
622,Krødsherad,52,213,9,1965,0,0,0
1911,Kvæfjord,93,88,6,2665,0,0,6
1943,Kvænangen,26,47,0,1126,3,0,0
2017,Kvalsund,23,58,4,897,6,0,0
1238,Kvam,257,484,21,7666,7,0,6
1037,Kvinesdal,223,241,21,5489,3,0,71
1224,Kvinnherad,242,541,52,12287,7,0,8
829,Kviteseid,33,120,13,2231,0,0,6
1144,Kvitsøy,9,30,6,471,0,0,0
1422,Lærdal,71,167,4,1903,6,0,0
712,Larvik,993,2730,228,43030,58,3,65
2022,Lebesby,80,125,11,1112,0,0,0
1419,Leikanger,74,72,9,2176,0,0,0
1822,Leirfjord,170,56,29,2059,3,0,3
5052,Leka,18,27,0,519,0,0,3
1931,Lenvik,514,387,30,10738,3,0,7
512,Lesja,29,124,4,1846,0,0,6
5037,Levanger,583,807,58,18777,5,3,21
626,Lier,755,2454,156,22953,3,3,49
5042,Lierne,43,90,0,1253,0,0,0
501,Lillehammer,782,1196,187,25794,7,0,57
926,Lillesand,345,453,50,10108,3,0,31
1263,Lindås,315,784,45,14634,8,3,23
1029,Lindesnes,135,314,14,4425,11,0,54
1920,Loabák - Lavangen,39,31,2,967,3,0,0
1851,Lødingen,129,94,9,1836,3,0,6
514,Lom,75,62,0,2153,0,3,0
2014,Loppa,49,72,11,785,0,0,0
230,Lørenskog,1462,3255,322,34989,9,0,69
415,Løten,146,371,30,7112,0,0,4
1112,Lund,127,83,10,2985,0,0,8
533,Lunner,337,457,33,8209,0,0,15
1834,Lurøy,23,107,3,1765,0,0,6
1426,Luster,114,261,19,4790,3,0,8
1032,Lyngdal,366,421,56,7662,12,0,92
1938,Lyngen,48,111,10,2675,0,0,3
1924,Målselv,133,199,13,6457,0,0,3
5031,Malvik,320,771,42,12865,9,0,33
1002,Mandal,515,628,61,14388,14,0,53
119,Marker,63,164,6,3353,3,0,3
1021,Marnardal,45,103,9,2132,3,0,5
1266,Masfjorden,47,69,9,1572,5,0,9
2018,Måsøy,19,197,0,1019,0,0,0
1256,Meland,199,398,19,7548,12,0,11
5023,Meldal,85,149,12,3653,0,3,3
5028,Melhus,328,752,24,15448,0,0,10
1837,Meløy,209,186,13,5905,0,0,18
5034,Meråker,129,99,6,2198,0,0,0
1545,Midsund,42,207,4,1763,0,0,3
5027,Midtre Gauldal,119,655,15,5451,0,3,3
1252,Modalen,13,19,0,348,0,0,0
623,Modum,384,783,55,12735,0,0,23
1502,Molde,1133,1368,140,24314,10,0,36
1874,Moskenes,33,158,2,836,4,0,6
104,Moss,1020,2275,256,29055,28,0,92
5051,Nærøy,214,254,6,4577,11,0,10
5040,Namdalseid,27,37,0,1509,3,0,0
5005,Namsos,482,382,29,12205,0,0,15
5044,Namsskogan,63,17,0,791,0,0,0
238,Nannestad,330,1606,95,11629,5,0,17
1805,Narvik,627,1054,78,16838,5,0,28
1433,Naustdal,67,117,9,2600,0,0,0
625,Nedre Eiker,776,1963,146,22035,8,0,35
236,Nes (Akershus),521,1646,78,19597,10,3,30
616,Nes (Buskerud),74,221,15,2995,6,0,4
1828,Nesna,108,116,12,1534,16,0,6
216,Nesodden,406,1481,228,17257,5,0,111
1543,Nesset,86,127,7,2733,0,0,3
830,Nissedal,56,109,6,1305,0,0,0
233,Nittedal,607,1722,133,21556,16,3,52
819,Nome,200,400,22,5877,30,0,9
542,Nord-Aurdal,158,353,23,5875,0,0,9
1524,Norddal,18,142,13,1466,3,0,3
516,Nord-Fron,150,192,9,5376,15,0,0
2019,Nordkapp,133,306,8,2761,0,0,10
418,Nord-Odal,55,140,18,4808,0,0,3
538,Nordre Land,197,244,9,6221,0,0,0
1942,Nordreisa - Ráisa - Raisi,142,146,12,4609,0,0,0
633,Nore og Uvdal,66,134,3,2238,4,0,3
807,Notodden,473,577,79,11532,5,0,16
1228,Odda,212,384,21,6111,7,0,10
1868,Øksnes,93,386,10,3954,3,0,3
5021,Oppdal,179,381,14,6390,3,0,8
217,Oppegård,649,1617,181,24868,9,0,70
5024,Orkdal,367,336,34,11324,13,0,12
5015,Ørland,132,183,15,4979,0,0,25
1523,Ørskog,59,214,20,1954,0,0,3
1520,Ørsta,237,471,22,10113,0,0,14
441,Os (Hedmark),56,138,6,1704,5,0,3
1243,Os (Hordaland),366,1688,106,18586,7,0,51
5020,Osen,23,31,0,893,0,0,0
301,Oslo municipality,33741,65130,8144,569947,298,35,3776
1253,Osterøy,148,568,33,7363,0,0,8
528,Østre Toten,264,835,38,13774,17,0,20
5047,Overhalla,96,200,24,3559,0,0,0
624,Øvre Eiker,421,1613,98,16964,3,0,18
521,Øyer,175,311,41,4585,0,0,7
1259,Øygarden,145,221,23,4496,0,0,4
544,Øystre Slidre,80,242,15,2857,0,0,14
2020,Porsanger - Porsángu - Porsanki,130,135,16,3663,0,0,0
805,Porsgrunn,1068,1363,200,33499,23,3,68
5043,Raarvihke - Røyrvik,17,28,0,437,0,0,0
135,Råde,166,606,27,6728,3,0,12
1260,Radøy,128,393,25,4541,0,0,4
228,Rælingen,623,1404,113,15969,8,3,41
128,Rakkestad,136,575,41,7458,3,0,17
1833,Rana,635,850,122,24688,7,0,13
1127,Randaberg,395,587,69,9974,0,0,28
1539,Rauma,120,502,33,6818,0,0,14
716,Re,181,663,50,8825,6,0,5
432,Rendalen,50,60,3,1673,5,0,0
5022,Rennebu,97,82,2,2320,0,0,0
1142,Rennesøy,106,378,35,4321,3,0,4
5061,Rindal,41,16,5,1966,0,0,0
520,Ringebu,89,297,15,4015,6,0,3
605,Ringerike,959,1920,225,27274,9,0,55
412,Ringsaker,630,1870,101,31832,9,0,46
901,Risør,278,244,26,6274,13,0,13
5019,Roan,3,99,2,850,0,0,3
1836,Rødøy,25,39,0,1174,0,0,0
632,Rollag,60,55,2,1299,3,0,0
121,Rømskog,21,60,0,592,0,0,0
5025,Røros,133,234,24,5210,0,0,9
1856,Røst,7,27,0,474,0,0,0
627,Røyken,558,2294,165,19552,4,0,62
136,Rygge,294,955,77,14777,8,0,34
1923,Salangen,152,63,15,1947,3,0,3
1840,Saltdal,170,135,19,4327,0,0,6
1242,Samnanger,50,111,10,2294,0,0,0
1514,Sande (Møre og Romsdal),59,371,9,2048,3,0,3
713,Sande (Vestfold),198,739,57,8885,3,0,22
710,Sandefjord,1734,4823,510,55950,40,3,211
1102,Sandnes,2735,7134,754,66346,27,3,247
1546,Sandøy,34,118,18,1062,0,0,6
105,Sarpsborg,1331,3123,564,50904,17,3,55
1135,Sauda,175,167,10,4240,0,0,5
822,Sauherad,162,222,16,3880,3,0,10
517,Sel,194,137,11,5444,0,0,3
5032,Selbu,72,167,7,3839,0,0,3
1441,Selje,77,143,11,2510,0,0,6
828,Seljord,100,143,2,2681,0,0,8
621,Sigdal,73,227,5,3178,4,0,3
811,Siljan,90,52,10,2173,0,0,4
1046,Sirdal,38,132,11,1652,3,0,3
1913,Skånland,85,160,9,2752,0,0,3
5029,Skaun,137,240,13,7835,3,0,3
231,Skedsmo,2224,4051,436,48739,56,3,143
213,Ski,878,2296,236,27359,6,0,68
806,Skien,1622,2300,302,50309,25,3,84
127,Skiptvet,79,286,15,3409,0,0,8
513,Skjåk,56,71,6,2068,0,0,3
1941,Skjervøy,123,264,8,2516,6,0,0
1529,Skodje,110,378,17,4253,0,0,6
1573,Smøla,51,191,4,1882,3,0,3
5041,Snåase - Snåsa,67,64,4,1962,0,0,3
5012,Snillfjord,20,66,4,906,0,0,3
1420,Sogndal,341,402,40,7388,14,0,6
1018,Søgne,251,501,48,10556,8,3,36
1111,Sokndal,65,108,9,3116,3,0,4
1124,Sola,930,2296,377,22825,7,0,147
1412,Solund,30,75,8,707,0,0,0
1812,Sømna,85,51,10,1868,0,0,0
536,Søndre Land,119,204,22,5261,8,0,9
1017,Songdalen,220,385,54,6003,8,0,36
540,Sør-Aurdal,71,128,2,2777,3,0,0
1845,Sørfold,51,86,5,1833,0,0,0
519,Sør-Fron,58,225,7,2834,0,0,3
419,Sør-Odal,177,357,28,7311,0,0,6
1925,Sørreisa,123,162,11,3190,0,0,3
1870,Sortland - Suortá,370,373,18,9746,3,0,8
226,Sørum,414,1812,79,15923,5,0,30
2030,Sør-Varanger,657,575,57,8851,3,0,13
123,Spydeberg,161,390,24,5456,6,0,5
417,Stange,514,895,98,19321,3,0,85
1103,Stavanger,6135,10357,2109,114498,55,3,880
1848,Steigen,97,133,8,2331,0,0,7
5004,Steinkjer,710,689,43,20621,4,0,23
5035,Stjørdal,702,625,59,22606,9,0,27
1221,Stord,471,915,99,17170,20,0,24
1526,Stordal,3,105,6,833,0,0,0
430,Stor-Elvdal,108,146,17,2181,0,0,7
1939,Storfjord - Omasvuotna - Omasvuono,62,85,7,1684,0,0,3
1130,Strand,392,615,72,11612,10,3,16
1525,Stranda,90,693,13,3763,0,0,6
1449,Stryn,247,862,24,6019,3,0,12
1531,Sula,192,751,42,8260,7,0,19
1134,Suldal,154,223,23,3394,0,0,0
1245,Sund,117,528,18,6379,5,0,15
1563,Sunndal,349,132,12,6592,10,0,11
1566,Surnadal,144,155,16,5610,0,0,3
1216,Sveio,158,359,14,5172,5,0,13
711,Svelvik,144,610,30,5892,0,0,9
1528,Sykkylven,186,589,32,6835,0,0,15
1121,Time,489,935,101,17228,8,0,34
1560,Tingvoll,84,146,18,2783,7,0,7
826,Tinn,244,255,19,5251,0,0,11
1852,Tjeldsund,17,23,3,1216,0,0,0
833,Tokke,54,89,4,2076,5,0,0
436,Tolga,59,83,2,1407,0,0,0
704,Tønsberg,1136,2552,285,41846,47,0,110
1928,Torsken,71,143,0,717,0,0,0
1835,Træna,10,79,2,365,0,0,0
1927,Tranøy,110,51,3,1349,0,0,0
122,Trøgstad,63,424,45,4809,0,0,6
1902,Tromsø,2912,5208,435,67785,30,0,279
5001,Trondheim,7817,10630,1081,175725,102,6,798
428,Trysil,140,499,23,5929,0,0,16
914,Tvedestrand,174,365,24,5493,3,0,10
5033,Tydal,25,20,0,749,0,0,0
437,Tynset,198,319,8,5057,0,0,9
1223,Tysnes,83,149,10,2595,0,0,9
1146,Tysvær,249,492,39,10228,3,0,17
235,Ullensaker,1276,3860,354,32647,5,3,89
1231,Ullensvang,135,187,32,2963,0,0,3
1516,Ulstein,334,745,49,7467,3,3,8
1233,Ulvik,45,95,15,938,0,0,0
2027,Unjárga - Nesseby,61,30,0,850,0,0,0
1151,Utsira,11,10,0,175,0,0,0
2003,Vadsø,506,214,26,5131,8,3,6
1857,Værøy,7,106,0,619,0,0,0
515,Vågå,89,77,6,3417,0,0,0
1865,Vågan,448,708,36,8353,27,3,20
1439,Vågsøy,163,424,44,5336,0,0,3
1251,Vaksdal,157,195,7,3673,10,0,3
426,Våler (Hedmark),48,204,8,3442,0,0,3
137,Våler (Østfold),88,508,17,4966,3,0,11
940,Valle,39,43,2,1066,0,0,6
545,Vang,67,169,15,1359,0,0,0
1511,Vanylven,56,125,6,2972,0,0,4
2002,Vardø,55,272,11,1740,0,0,3
1824,Vefsn,341,333,39,12655,19,0,16
1815,Vega,34,47,4,1144,0,0,3
912,Vegårshei,97,75,4,1911,3,0,3
1014,Vennesla,476,727,61,13311,10,0,45
5038,Verdal,394,402,30,14098,0,0,9
5039,Verran,102,136,8,2203,0,0,0
211,Vestby,421,1292,148,15904,0,0,59
1535,Vestnes,175,443,35,5874,0,0,9
543,Vestre Slidre,56,93,6,1977,0,0,3
529,Vestre Toten,364,496,59,12450,6,0,9
1860,Vestvågøy,454,523,25,10466,3,0,9
1816,Vevelstad,40,14,2,438,0,0,3
1417,Vik,92,195,5,2377,0,0,3
5050,Vikna,192,243,10,4133,0,0,0
1160,Vindafjord,178,846,49,7650,6,0,14
834,Vinje,99,198,16,3403,3,0,4
1519,Volda,325,374,43,8429,3,0,23
1235,Voss,432,617,62,13464,6,0,25
