komunenummer,komunenavn,alletyper,exercise,smoke,snuff
3814,Kragerø,658,15.21571649,14.7149461,14.56086287
3815,Drangedal,609,15.0012276,14.4365333,14.60839676
3816,Nome,654,15.28564864,14.596416,14.56578343
3817,Midt-Telemark,626,14.07904905,14.1630041,15.32
3818,Tinn,678,15.73929624,14.5259144,14.56058242
3819,Hjartdal,507,18.70229008,10.3053435,8.078880407
3820,Seljord,517,14.83253589,14.354067,15.14012303
3821,Kviteseid,596,14.68502295,14.226116,15.26908636
3822,Nissedal,631,17.75067751,12.8726287,7.588075881
3823,Fyresdal,584,17.92673422,11.2236945,7.014809041
3824,Tokke,580,16.56193896,14.4524237,14.85637343
3825,Vinje,561,14.60069911,14.1973649,15.19225598
4201,Risør,672,13.43087052,15.9180688,12.07022677
4202,Grimstad,623,8.260513968,14.4720417,16.92996427
4203,Arendal,658,8.847658433,15.3816922,16.37643903
4204,Kristiansand,652,11.29499956,16.2213826,14.88
4205,Lindesnes,661,13.09488823,16.5648331,12.89
4206,Farsund,636,12.89223782,16.0094963,12.5
4207,Flekkefjord,635,13.06316254,15.8900177,12.30123675
4211,Gjerstad,564,13.50469196,16.1566707,11.99510404
4212,Vegårshei,765,12.77511962,16.076555,13.06220096
4213,Tvedestrand,683,13.55093966,16.4358721,12.57830531
4214,Froland,665,12.88942143,17.2030127,14.36152003
4215,Lillesand,638,12.81514517,16.5650314,13.06999181
4216,Birkenes,663,12.49759662,16.5545087,13.49740435
4217,Åmli,678,0,46.9244288,32.22026948
4218,Iveland,666,0,44.3910256,31.08974359
4219,Evje og Hornnes,654,12.98844249,16.4006604,13.15354981
4220,Bygland,664,0,45.7391304,32.52173913
4221,Valle,602,0,47.3303167,33.93665158
4222,Bykle,570,5.826271186,14.8305085,18.96186441
4223,Vennesla,612,12.81805746,16.8194254,13.63201094
4224,Åseral,729,6.837606838,11.8589744,18.91025641
4225,Lyngdal,634,12.2368268,28.4884269,21.47
4226,Hægebostad,718,0,41.6303671,31.86060983
4227,Kvinesdal,689,12.90322581,16.261373,13.11827957
4228,Sirdal,582,0,45.3846154,32.5443787
1101,Eigersund,657,13.0613621,16.5407957,13.05461902
1103,Stavanger,704,13.36185686,16.2512035,11.32
1106,Haugesund,711,8.468381306,15.0769975,16.96632535
1108,Sandnes,675,7.765230004,28.8356222,23.82
1111,Sokndal,547,12.74984858,16.4142944,13.17383404
1112,Lund,551,12.76065982,16.3087457,12.97852474
1114,Bjerkreim,629,12.54007838,16.7438546,13.21695761
1119,Hå,658,12.68938387,16.7348892,13.28478018
1120,Klepp,669,12.77002584,17.0180879,13.76744186
1121,Time,629,12.72688561,17.0117635,14.02565604
1122,Gjesdal,680,12.6345895,17.2274563,14.04777927
1124,Sola,654,7.725305738,13.6481656,16.86923801
1127,Randaberg,655,12.45815616,16.5023071,13.34479327
1130,Strand,703,12.70953018,16.5892815,13.55158574
1133,Hjelmeland,709,12.92491595,15.4650728,11.729548
1134,Suldal,639,13.07327359,15.6826568,12.41433843
1135,Sauda,621,13.37829019,15.6623885,13.07374375
1144,Kvitsøy,618,5.294117647,11.5686275,16.47058824
1145,Bokn,645,5.973715651,9.557945,18.75746714
1146,Tysvær,683,12.6893424,16.7256236,13.77777778
1149,Karmøy,708,8.800436464,14.543255,16.90822402
1151,Utsira,632,23.97959184,21.9387755,14.28571429
1160,Vindafjord,607,13.20819503,16.4129564,12.99072908
4601,Bergen,651,7.144112005,20.4725454,16.75384974
4602,Kinn,640,9.271522292,16.381269,23.16
4611,Etne,689,9.050772627,15.9921511,22.93352956
4612,Sveio,691,9.486235315,16.1493951,24.35560231
4613,Bømlo,713,9.294737723,16.2051368,23.9270476
4614,Stord,675,9.305816135,16.043956,24.66898955
4615,Fitjar,718,9.182074585,16.0764651,24.31839549
4616,Tysnes,654,9.622841029,16.7077899,21.57208319
4617,Kvinnherad,677,9.518366103,16.4456638,23.26627039
4618,Ullensvang,658,8.627695262,15.5566462,18.49
4619,Eidfjord,658,9.413067553,15.9468439,15.72535991
4620,Ulvik,668,6.307977737,12.5231911,13.26530612
4621,Voss,635,9.660571401,15.7614737,19.96
4622,Kvam,643,9.420977693,16.1485524,22.43711438
4623,Samnanger,660,9.53346856,16.3488844,22.71805274
4624,Bjørnafjorden,649,9.345140615,15.6773699,20.06
4625,Austevoll,736,9.658218126,15.3993856,23.92473118
4626,Øygarden,653,9.263239734,15.8988535,22.37
4627,Askøy,624,8.575830195,15.631633,18.20951729
4628,Vaksdal,709,9.598214286,16.6170635,22.89186508
4629,Modalen,576,9.736842105,6.8421053,11.57894737
4630,Osterøy,678,9.516765286,15.6065089,24.27268245
4631,Alver,660,9.373427122,16.0589406,24.42
4632,Austrheim,681,9.466019417,16.4008322,21.63661581
4633,Fedje,804,7.871198569,14.6690519,13.59570662
4634,Masfjorden,595,6.279620853,12.0853081,13.56635071
4635,Gulen,556,9.302325581,16.1498708,20.88716624
4636,Solund,739,8.743842365,14.0394089,14.77832512
4637,Hyllestad,505,6.37037037,13.1851852,12.88888889
4638,Høyanger,616,9.466731898,16.9765166,22.79843444
4639,Vik,580,9.216935182,15.6238291,21.43124766
4640,Sogndal,609,8.194349826,14.8813078,20.66
4641,Aurland,547,5.878995434,11.8150685,14.49771689
4642,Lærdal,651,9.324009324,15.8508159,22.004662
4643,Årdal,642,9.385730637,16.4822587,22.10988172
4644,Luster,533,9.220679012,15.7600309,23.6882716
4645,Askvoll,603,9.28005284,16.347424,21.5323646
4646,Fjaler,683,9.184046835,16.4288328,23.12477131
4647,Sunnfjord,586,9.34575935,15.8597101,24.95
4648,Bremanger,684,9.00974026,15.9632035,20.12987013
4649,Stad,540,9.408737839,16.3001581,23.5
4650,Gloppen,582,9.187703933,16.2974412,23.14957925
4651,Stryn,617,9.158277405,15.49217,22.30145414
1505,Kristiansund,700,8.955100693,15.8715748,16.79597227
1506,Molde,602,9.23,16.1682969,20.19
1507,Ålesund,634,8.825308315,15.0007426,19.52506978
1511,Vanylven,562,9.433364989,16.7458056,20.82937638
1514,Sande,494,9.167671894,15.9227986,19.05910736
1515,Herøy (Møre og Romsdal),606,9.421265141,15.8479139,22.45401525
1516,Ulstein,571,9.214659686,16.1721931,23.37405468
1517,Hareid,607,9.686831356,15.9113013,23.20560202
1520,Ørsta,540,9.443880845,16.0287743,24.38439546
1525,Stranda,570,9.431892959,14.7400746,20.31147181
1528,Sykkylven,623,9.30384716,15.9774928,23.0044491
1531,Sula,615,9.497025419,15.4570038,24.66197945
1532,Giske,560,9.491930663,15.3257621,24.6742379
1535,Vestnes,626,9.26918952,16.2861958,22.65972116
1539,Rauma,605,9.701592399,16.2317677,22.82885053
1547,Aukra,588,9.191489362,15.858156,22.55319149
1554,Averøy,672,9.386776293,16.3583419,22.49057897
1557,Gjemnes,617,9.578107184,16.2675789,22.76700874
1560,Tingvoll,582,9.171890465,16.991092,21.41207522
1563,Sunndal,609,9.244883557,17.2618207,23.0345801
1566,Surnadal,614,9.198312236,16.556962,23.02109705
1573,Smøla,652,9.210526316,16.4943609,20.86466165
1576,Aure,567,9.154929577,16.9014085,21.38028169
1577,Volda,515,7.85991602,13.6332229,19.24
