,kommunenummer,RR,LL,UL
264,4636,1.837539836,8.25E-12,9.34937378
265,4637,1.783765694,8.01E-12,9.076721833
266,4638,0.471906761,0.349099341,0.609596478
267,4639,1.691311175,7.60E-12,8.606342314
268,4640,0.528936527,0.430794844,0.639610195
269,4641,1.494548918,6.71E-12,7.604714384
270,4642,1.547116279,6.94E-12,7.870880448
271,4643,0.117104135,0.0155414,0.374955886
272,4644,0.627337139,0.530978632,0.731718328
273,4645,1.728201243,7.76E-12,8.793737811
274,4646,2.306264914,1.03E-11,11.72344502
275,4647,1.193755944,1.091919395,1.298905793
276,4648,1.590776987,7.13E-12,8.092710092
277,4649,0.584689192,0.496898669,0.679163169
278,4650,0.599590641,0.497719783,0.71215726
279,4651,0.555479076,0.458020447,0.664278511
280,5001,1.107979002,0.964736947,1.263654479
281,5006,1.360117083,1.11390534,1.637939545
282,5007,0.677499963,0.555967753,0.81324991
283,5014,0.700598563,0.560121223,0.861266996
284,5020,1.780698434,7.99E-12,9.060739071
285,5021,0.640718467,0.540089317,0.750064001
286,5022,1.71840946,7.72E-12,8.744149399
287,5025,0.592475198,0.502986267,0.689042595
288,5026,1.608788796,7.22E-12,8.185875482
289,5027,0.584512373,0.487827302,0.690939121
290,5028,0.547055844,0.45326805,0.65085983
291,5029,0.523614468,0.424510212,0.635319609
292,5031,0.516048584,0.415761715,0.629410498
293,5032,0.589078783,0.491668878,0.6962672
294,5033,1.655004801,7.43E-12,8.421428762
295,5034,1.680234904,7.55E-12,8.550305655
296,5035,1.213055734,1.099613812,1.331963654
297,5036,1.808664974,8.12E-12,9.202971815
298,5037,1.247888639,1.105155262,1.400723187
299,5038,0.598689337,0.502509732,0.703953768
300,5041,1.713737783,7.70E-12,8.720811093
301,5042,1.668612835,7.50E-12,8.491172709
302,5043,1.518595049,6.82E-12,7.727141015
303,5044,1.618818624,7.27E-12,8.23763322
304,5045,1.86160231,8.36E-12,9.47265467
305,5046,1.557497969,6.99E-12,7.925291196
306,5047,0.565297965,0.47505261,0.663746664
307,5049,1.82925617,8.21E-12,9.307005959
308,5052,1.429876294,6.41E-12,7.274871404
309,5053,0.566213141,0.475355287,0.665510417
310,5054,0.658482616,0.548730544,0.779270206
311,5055,0.940348698,0.685166607,1.259577251
312,5056,0.640279816,0.535906634,0.754509608
313,5057,0.616928567,0.517832595,0.725449115
314,5058,0.666552672,0.549896944,0.796192576
315,5059,1.152628901,0.763255791,1.694054295
316,5060,0.59389483,0.504252103,0.690936065
317,5061,1.518966904,6.82E-12,7.728448886
318,5401,1.119403774,0.974891418,1.279512051
319,5402,1.211261397,1.070251938,1.365066222
320,5403,1.154262224,1.02873141,1.296990382
321,5404,2.177843749,9.74E-12,11.07678891
322,5405,0.591579384,0.495503897,0.699206437
323,5406,0.540482887,0.442315179,0.652783948
324,5411,1.562780973,7.02E-12,7.952130413
325,5412,0.584459676,0.48355622,0.697117852
326,5413,1.951776234,8.75E-12,9.929264241
327,5414,1.625201042,7.29E-12,8.269325193
328,5415,1.434102056,6.43E-12,7.296456238
329,5416,0.529774055,0.434044111,0.63748555
330,5417,1.804138002,8.10E-12,9.18026327
331,5418,0.557512033,0.460187649,0.666503768
332,5419,1.403405014,6.29E-12,7.139449939
333,5420,1.779065115,7.98E-12,9.052212135
334,5421,1.012062806,0.688021794,1.43840286
335,5422,0.674459928,0.541419208,0.826871583
336,5423,1.811335275,8.13E-12,9.216867784
337,5424,1.825651008,8.19E-12,9.289063278
338,5425,1.614124532,7.25E-12,8.213625398
339,5426,1.768592935,7.91E-12,8.995284279
340,5427,1.55565417,6.98E-12,7.915784652
341,5428,0.617385606,0.5169555,0.729493714
342,5429,1.775010027,7.96E-12,9.031152257
343,5430,1.500080558,6.73E-12,7.632025006
344,5432,2.152868118,9.64E-12,10.95054151
345,5433,1.678498878,7.53E-12,8.540717892
346,5434,2.124144751,9.50E-12,10.80389591
347,5435,1.698799324,7.63E-12,8.644301757
348,5436,0.569390141,0.468294798,0.684232469
349,5437,1.598338196,7.17E-12,8.132733126
350,5438,2.068606656,9.26E-12,10.52195801
351,5439,2.05493372,9.20E-12,10.45283701
352,5440,1.961481058,8.80E-12,9.979364434
353,5441,1.557684436,6.99E-12,7.926172532
354,5442,1.767365964,7.93E-12,8.992318479
355,5443,1.719998997,7.72E-12,8.751947591
356,5444,0.56664072,0.463176219,0.684994714
