"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"186",3452,"Vestre Slidre",0,1.05328918871431,0,"Vestre Slidre",1.875,186,186,0.176493139107598,0.00969598322223274,0.77724169076334
"187",3453,"Ã˜ystre Slidre",0,1.53826682423329,0,"Øystre Slidre",1.95,187,187,0.16654152181253,0.0101355102648629,0.697498578649621
"188",3454,"Vang",0,0.786542632214836,0,"Vang",1.7,188,188,0.170846235001331,0.00867334265649246,0.781928986906831
"189",3801,"Horten",19,12.9144914830487,1.47121549655586,"Horten",5.1,189,189,1.48679003254944,0.905882262793567,2.20392326808054
"190",3802,"Holmestrand",16,11.2315537058595,1.42455802812507,"Holmestrand",3.8,190,190,1.39160000443698,0.80154664997114,2.1382888659544
"191",3803,"TÃ¸nsberg",33,25.466804206203,1.29580451998614,"Tønsberg",5.175,191,191,1.3086756966751,0.904981958287359,1.78080908309945
"192",3804,"Sandefjord",47,29.2469833667491,1.6070033415287,"Sandefjord",4.75,192,192,1.60636347415249,1.18149141518702,2.09049784618411
"193",3805,"Larvik",30,22.4141677984003,1.33843916356069,"Larvik",4.725,193,193,1.34257062154697,0.909622613936968,1.85332714409819
"194",3806,"Porsgrunn",25,17.0085687265611,1.4698473694003,"Porsgrunn",8.125,194,194,1.56323693884466,1.02857516688675,2.2015981202142
"195",3807,"Skien",29,25.3441260812381,1.14424935809755,"Skien",7.75,195,195,1.20732582484431,0.819159130520276,1.66479162113313
"196",3808,"Notodden",6,6.38666639183079,0.939457242932655,"Notodden",3.95,196,196,0.936113632751953,0.374080811018254,1.77158019537995
"197",3811,"FÃ¦rder",18,12.7947957184621,1.40682199200938,"Færder",5.075,197,197,1.42414705980897,0.855564474407428,2.1302293162047
"198",3812,"Siljan",0,1.11277225553808,0,"Siljan",3.4,198,198,0.355393199828818,0.0256103843772548,1.39427236256284
"199",3813,"Bamble",9,6.58128380498069,1.36751434320289,"Bamble",5.325,199,199,1.4189986805252,0.68383315352709,2.42447134099734
"200",3814,"KragerÃ¸",8,5.1592329711443,1.55061809473311,"Kragerø",4.125,200,200,1.49918981527999,0.671907998298362,2.66837478818816
