"","kommunenummer","population","cases","expected","SMR"
"299",5038,14334,67,63.9609167397359,1.04751469202092
"300",5041,2172,16,9.69185929668664,1.6508700250601
"301",5042,1406,10,6.27382788726584,1.59392322832083
"302",5043,499,3,2.22662881631981,1.34732829199544
"303",5044,928,6,4.14090489287532,1.44895865884854
"304",5045,2357,9,10.5173629660637,0.855727812098928
"305",5046,1270,11,5.66697113572377,1.94107217710314
"306",5047,3636,20,16.2244937397572,1.23270410287078
"307",5049,1109,3,4.94855983426588,0.606236986208949
"308",5052,589,2,2.62822519601677,0.760969799327362
"309",5053,6717,37,29.9724764713831,1.23446589524648
"310",5054,10065,47,44.91186179611,1.0464941358559
"311",5055,5963,27,26.6079912459219,1.0147327451537
"312",5056,5050,28,22.5340190829961,1.24256573569375
"313",5057,9703,56,43.2965519133289,1.29340553751488
"314",5058,4223,26,18.8437945717807,1.37976456392366
"315",5059,18217,75,81.2875694326614,0.922650296022567
"316",5060,9134,53,40.7575703572448,1.30037191950965
"317",5061,2061,15,9.19655709506039,1.63104516668055
"318",5401,68239,244,304.494837268232,0.801327215229789
"319",5402,23899,134,106.641687537529,1.25654425669926
"320",5403,19071,49,85.0982728577859,0.57580487070387
"321",5404,2111,8,9.41966619489203,0.849286995364881
"322",5405,6095,26,27.1969992694775,0.955987818449485
"323",5406,10910,32,48.6824055832648,0.657321667173333
"324",5411,3050,10,13.6096550897303,0.734772478366912
"325",5412,4221,31,18.8348702077874,1.64588338852385
"326",5413,1419,11,6.33183625322207,1.73725275892952
"327",5414,1115,6,4.97533292624567,1.20594944879951
"328",5415,1003,7,4.47556854262279,1.56404710001332
"329",5416,3942,22,17.5899214307269,1.25071621761593
"330",5417,2179,14,9.72309457066307,1.43987080432616
"331",5418,6563,37,29.2853004439017,1.26343248794311
"332",5419,3371,14,15.0420155106495,0.930726337177904
"333",5420,1205,6,5.37692930594263,1.11587853561116
"334",5421,14650,67,65.3709662506719,1.02491983586538
"335",5422,5517,29,24.6178580754237,1.17800662881191
"336",5423,2357,13,10.5173629660637,1.2360512841429
"337",5424,3086,11,13.7702936416091,0.798821019092997
"338",5425,1894,11,8.4513727016227,1.30156370903959
"339",5426,2185,13,9.74986766264287,1.33335143099533
"340",5427,2885,10,12.8733950602859,0.776795861011813
"341",5428,4805,19,21.440784493821,0.886161605023154
"342",5429,1294,8,5.77406350364296,1.38550606430855
"343",5430,2935,12,13.0965041601175,0.916275049684122
"344",5432,1078,4,4.81023219237026,0.831560689802998
"345",5433,972,3,4.33724090072717,0.69168396883305
"346",5434,1228,5,5.47955949186519,0.912482108721124
"347",5435,3224,14,14.3860747571444,0.973163301062876
"348",5436,3980,9,17.7594843465989,0.506771470632455
"349",5437,2768,5,12.3513197666798,0.404815039562695
"350",5438,1336,4,5.96147514750154,0.670974867969785
"351",5439,991,3,4.42202235866319,0.678422621297401
"352",5440,1031,8,4.60050963852851,1.73893777615448
"353",5441,2897,10,12.9269412442455,0.773578204701098
"354",5442,893,5,3.98472852299317,1.25479062655044
"355",5443,2071,10,9.24117891502672,1.08211301739212
"356",5444,9826,38,43.8454002989148,0.866681561599075
